dataset,policy,capacity_type,requested_capacity,effective_capacity_terms,actual_pct_eligible_vocab,oracle_ndcg10,delta_ndcg10,oracle_r1000,delta_r1000,pct_retained_vs_eligible,recall_safe_query_rate,ranking_safe_query_rate
fiqa,salience,fixed,1000,1000,5.320280910832092,0.43114896975837064,0.2102823440958967,0.9448333333333333,0.166,58.47824087121104,0.06,0.3
fiqa,salience,fixed,2500,2500,13.300702277080228,0.5105222178922617,0.28965559222978776,0.9481666666666666,0.16933333333333334,80.55145839720235,0.06,0.38
fiqa,salience,fixed,5000,5000,26.601404554160457,0.5224595897855748,0.3015929641231008,0.9533333333333333,0.17450000000000002,83.87116891283193,0.08,0.38
fiqa,salience,fixed,10000,10000,53.20280910832091,0.5573925318313172,0.3365259061688432,0.9546666666666667,0.17583333333333337,93.58580761953846,0.08,0.38
fiqa,salience,fixed,15000,15000,79.80421366248139,0.5702957178654511,0.3494290922029771,0.9546666666666667,0.17583333333333337,97.17410517325996,0.08,0.38
fiqa,salience,fixed,20000,20000,106.40561821664183,0.5804573742265593,0.35959074856408535,0.9546666666666667,0.17583333333333337,100.0,0.08,0.38
fiqa,salience,percentage,0.02,375,2.0,0.3715365823152641,0.15066995665279007,0.9048333333333332,0.126,41.90039850981818,0.06,0.26
fiqa,salience,percentage,0.05,939,5.0,0.43114896975837064,0.2102823440958967,0.9448333333333333,0.166,58.47824087121104,0.06,0.3
fiqa,salience,percentage,0.1,1879,10.0,0.49697368201654585,0.2761070563540719,0.9448333333333333,0.166,76.78369297781443,0.06,0.34
fiqa,salience,percentage,0.15,2819,15.0,0.5105222178922617,0.28965559222978776,0.9481666666666666,0.16933333333333334,80.55145839720235,0.06,0.38
fiqa,salience,percentage,0.2,3759,20.0,0.5211316767673653,0.3002650511048914,0.9481666666666666,0.16933333333333334,83.50188437936937,0.08,0.38
fiqa,salience,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2819,14.997871887635666,0.5105222178922617,0.28965559222978776,0.9481666666666666,0.16933333333333334,80.55145839720235,0.06,0.38
fiqa,specificity,fixed,1000,1000,5.320280910832092,0.430568421281821,0.209701795619347,0.9248333333333334,0.14600000000000002,58.31679387101209,0.06,0.3
fiqa,specificity,fixed,2500,2500,13.300702277080228,0.5063076991890274,0.2854410735265534,0.9448333333333333,0.166,79.37942638023203,0.06,0.38
fiqa,specificity,fixed,5000,5000,26.601404554160457,0.5238724241646812,0.3030057985022072,0.9506666666666667,0.17183333333333334,84.26406956023406,0.08,0.38
fiqa,specificity,fixed,10000,10000,53.20280910832091,0.5587957852047616,0.3379291595422876,0.9546666666666667,0.17583333333333337,93.97604384754152,0.08,0.38
fiqa,specificity,fixed,15000,15000,79.80421366248139,0.5748216055760694,0.3539549799135955,0.9546666666666667,0.17583333333333337,98.43272701731216,0.08,0.38
fiqa,specificity,fixed,20000,20000,106.40561821664183,0.5804573742265593,0.35959074856408535,0.9546666666666667,0.17583333333333337,100.0,0.08,0.38
fiqa,specificity,percentage,0.02,375,2.0,0.32970516318068943,0.10883853751821551,0.8715,0.09266666666666667,30.267335284021797,0.04,0.18
fiqa,specificity,percentage,0.05,939,5.0,0.41830547742651175,0.19743885176403783,0.9248333333333334,0.14600000000000002,54.90654377301111,0.06,0.3
fiqa,specificity,percentage,0.1,1879,10.0,0.4883157567070203,0.2674491310445463,0.9381666666666666,0.15933333333333333,74.375976610222,0.06,0.36
fiqa,specificity,percentage,0.15,2819,15.0,0.5165380892248542,0.2956714635623803,0.9448333333333333,0.166,82.22443562384544,0.06,0.38
fiqa,specificity,percentage,0.2,3759,20.0,0.5225498130974847,0.30168318743501077,0.9506666666666667,0.17183333333333334,83.8962594670996,0.08,0.38
fiqa,specificity,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2819,14.997871887635666,0.5165380892248542,0.2956714635623803,0.9448333333333333,0.166,82.22443562384544,0.06,0.38
fiqa,hybrid,fixed,1000,1000,5.320280910832092,0.4361957836725718,0.21532915801009783,0.9181666666666668,0.13933333333333334,59.88172912399675,0.06,0.3
fiqa,hybrid,fixed,2500,2500,13.300702277080228,0.5022736485247709,0.2814070228622968,0.9448333333333333,0.166,78.25758142722215,0.06,0.38
fiqa,hybrid,fixed,5000,5000,26.601404554160457,0.5238724241646812,0.3030057985022072,0.9506666666666667,0.17183333333333334,84.26406956023406,0.08,0.38
fiqa,hybrid,fixed,10000,10000,53.20280910832091,0.5578779888226635,0.33701136316018954,0.9546666666666667,0.17583333333333337,93.72081025608706,0.08,0.38
fiqa,hybrid,fixed,15000,15000,79.80421366248139,0.5748216055760694,0.3539549799135955,0.9546666666666667,0.17583333333333337,98.43272701731216,0.08,0.38
fiqa,hybrid,fixed,20000,20000,106.40561821664183,0.5804573742265593,0.35959074856408535,0.9546666666666667,0.17583333333333337,100.0,0.08,0.38
fiqa,hybrid,percentage,0.02,375,2.0,0.32735026061673667,0.10648363495426263,0.8715,0.09266666666666667,29.612451204451773,0.04,0.18
fiqa,hybrid,percentage,0.05,939,5.0,0.422869440945002,0.20200281528252798,0.9181666666666668,0.13933333333333334,56.17575426764005,0.06,0.3
fiqa,hybrid,percentage,0.1,1879,10.0,0.48857129997859855,0.2677046743161246,0.9348333333333333,0.15600000000000003,74.44704163973088,0.06,0.36
fiqa,hybrid,percentage,0.15,2819,15.0,0.5165380892248542,0.2956714635623803,0.9448333333333333,0.166,82.22443562384544,0.06,0.38
fiqa,hybrid,percentage,0.2,3759,20.0,0.520832476828988,0.2999658511665141,0.9481666666666666,0.16933333333333334,83.4186786963611,0.08,0.38
fiqa,hybrid,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2819,14.997871887635666,0.5165380892248542,0.2956714635623803,0.9448333333333333,0.166,82.22443562384544,0.06,0.38
fiqa,stratified,fixed,1000,1000,5.320280910832092,0.457435017067955,0.236568391405481,0.9481666666666666,0.16933333333333334,65.78823074568628,0.08,0.34
fiqa,stratified,fixed,2500,2500,13.300702277080228,0.4812189897411875,0.26035236407871354,0.9546666666666667,0.17583333333333337,72.40240888241712,0.08,0.36
fiqa,stratified,fixed,5000,5000,26.601404554160457,0.5393747489401544,0.3185081232776804,0.9546666666666667,0.17583333333333337,88.57517178891399,0.08,0.36
fiqa,stratified,fixed,10000,10000,53.20280910832091,0.5633216729153799,0.342455047252906,0.9546666666666667,0.17583333333333337,95.2346656915937,0.08,0.38
fiqa,stratified,fixed,15000,15000,79.80421366248139,0.5748216055760694,0.3539549799135955,0.9546666666666667,0.17583333333333337,98.43272701731216,0.08,0.38
fiqa,stratified,fixed,20000,20000,106.40561821664183,0.5804573742265593,0.35959074856408535,0.9546666666666667,0.17583333333333337,100.0,0.08,0.38
fiqa,stratified,percentage,0.02,375,2.0,0.38344897458947647,0.16258234892700252,0.9075,0.12866666666666668,45.21316234531198,0.06,0.28
fiqa,stratified,percentage,0.05,939,5.0,0.457435017067955,0.236568391405481,0.9481666666666666,0.16933333333333334,65.78823074568628,0.08,0.34
fiqa,stratified,percentage,0.1,1879,10.0,0.4793063080875297,0.2584396824250558,0.9533333333333333,0.17450000000000002,71.87050374823458,0.08,0.36
fiqa,stratified,percentage,0.15,2819,15.0,0.48802274103606463,0.2671561153735907,0.9546666666666667,0.17583333333333337,74.2944907343685,0.08,0.36
fiqa,stratified,percentage,0.2,3759,20.0,0.5142361496615093,0.29336952399903543,0.9546666666666667,0.17583333333333337,81.58428023260223,0.08,0.36
fiqa,stratified,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2819,14.997871887635666,0.48802274103606463,0.2671561153735907,0.9546666666666667,0.17583333333333337,74.2944907343685,0.08,0.36
fiqa,coverage,fixed,1000,1000,5.320280910832092,0.43560469594778234,0.21473807028530842,0.8913333333333334,0.1125,59.71735122296627,0.04,0.28
fiqa,coverage,fixed,2500,2500,13.300702277080228,0.4834825686398829,0.262615942977409,0.9080000000000001,0.12916666666666665,73.03189640614634,0.04,0.36
