Dataset,Partition,Queries,Baseline nDCG@10,Baseline R@1000,Ceiling Delta-nDCG@10,Ceiling Net Rel Docs,Materially Addressable % (g* >= 0.005),Recall Addressable % (r* >= 1)
arguana,Extension,50,0.3548,1.0000,"+0.0924 [0.0579, 0.1305]",+0.00,54.0%,0.0%
bright_aops,Dev,50,0.0372,0.4589,"+0.1001 [0.0608, 0.1556]",+0.60,42.0%,54.0%
bright_stackoverflow,Extension,50,0.1011,0.6270,"+0.0752 [0.0366, 0.1262]",+0.46,42.0%,18.0%
fiqa,Extension,50,0.2209,0.7788,"+0.3952 [0.3297, 0.4607]",+0.56,92.0%,42.0%
nfcorpus,Dev,44,0.2977,0.3552,"+0.4479 [0.3569, 0.5377]",+12.59,84.1%,88.6%
scidocs,Extension,50,0.1855,0.5930,"+0.2645 [0.2278, 0.3043]",+1.30,92.0%,78.0%
scifact,Dev,50,0.6444,0.9800,"+0.2703 [0.1811, 0.3673]",+0.02,48.0%,2.0%
trec_covid,Dev,50,0.6055,0.4486,"+0.2804 [0.2308, 0.3312]",+32.72,98.0%,100.0%
Macro Dev (4 Corpora),Macro,194,0.3962,0.5607,+0.2747,+11.48,68.0%,61.2%
Macro Ext (4 Corpora),Macro,200,0.2156,0.7497,+0.2068,+0.58,70.0%,34.5%
Macro All (8 Corpora),Macro,394,0.3059,0.6552,+0.2408,+6.03,69.0%,47.8%
