dataset,schema_type,label,display_name,params,role,Avg_Anchors,Avg_Cands_Tau,Avg_Synonyms,Starvation_Rate_pct,Avg_Qaug_Len,Avg_R_Anchor,Avg_Latency_ms,Strict@10,Strict@20,Strict@30,Strict@50,ChunkRec@10,ChunkRec@20,ChunkRec@30,ChunkRec@50,ChunkPrec@10,ChunkPrec@20,ChunkPrec@30,ChunkPrec@50,MRR@10,MRR@50,trace_file
fused_stress_500,v1,v1_baseline,"Schema 1 Baseline (3,3,3,-1)","(3, 3, 3, -1)","Primary Baseline Reference (R=3, C_exp=2)",6.8,340.69,13.59,0.1,38.9,3.0,150.63,79.8,91.6,94.6,96.2,66.6,82.6,88.1,91.3,11.6,7.5,5.4,3.4,0.4563,0.4662,trace_fused_stress_500_v1_baseline.json
fused_stress_500,v5b,v5b_r3-5_c-1,"Schema 5b (-, 3, 5, -1)","(-, 3, 5, -1)","Schema 5b Safe High-Floor (R in [3, 5])",6.8,340.69,23.17,0.2,60.0,4.43,210.12,84.5,92.3,94.2,95.8,70.9,83.0,87.6,91.1,12.4,7.5,5.4,3.4,0.5283,0.5349,trace_fused_stress_500_v5b_r3-5_c-1.json
fused_stress_500,v5b,v5b_r4-5_c-1,"Schema 5b (-, 4, 5, -1)","(-, 4, 5, -1)","Schema 5b Heavy Entity Booster (R in [4, 5])",6.8,340.69,25.41,0.2,64.8,4.76,223.71,84.9,92.5,94.4,95.8,71.5,83.5,87.7,91.1,12.5,7.6,5.4,3.4,0.5373,0.5438,trace_fused_stress_500_v5b_r4-5_c-1.json
fused_stress_500,v6a,v6a_n3_r2-5_c-1,"Schema 6a (3, 2, 5, -1)","(3, 2, 5, -1)",Centrality Anchors + Fixed 3x + Stem Dedup + Fix B,6.23,332.37,19.66,0.2,44.5,3.0,196.59,72.9,89.8,93.5,95.6,59.7,78.9,86.0,90.2,10.3,7.1,5.2,3.3,0.404,0.4177,trace_fused_stress_500_v6a_n3_r2-5_c-1.json
fused_stress_500,v6a,v6a_n4_r2-5_c-1,"Schema 6a (4, 2, 5, -1)","(4, 2, 5, -1)",Centrality Anchors + Fixed 4x + Stem Dedup + Fix B,6.23,332.37,19.66,0.2,50.7,4.0,206.62,83.2,92.5,94.2,96.0,69.6,82.8,87.5,91.1,12.2,7.5,5.3,3.4,0.5135,0.5211,trace_fused_stress_500_v6a_n4_r2-5_c-1.json
fused_stress_500,v6b,v6b_r2-4_c-1,"Schema 6b (-, 2, 4, -1)","(-, 2, 4, -1)","Centrality Anchors + Dynamic [2, 4] + Stem Dedup + Fix B",6.23,332.37,15.25,0.2,42.1,3.46,185.37,82.6,92.2,94.2,96.0,69.9,82.8,87.9,91.2,12.3,7.5,5.4,3.4,0.5001,0.5082,trace_fused_stress_500_v6b_r2-4_c-1.json
fused_stress_500,v6b,v6b_r3-5_c-1,"Schema 6b (-, 3, 5, -1)","(-, 3, 5, -1)","Centrality Anchors + Dynamic [3, 5] + Stem Dedup + Fix B",6.23,332.37,21.47,0.2,55.7,4.46,220.12,84.8,93.0,94.6,96.1,71.7,83.6,87.9,91.5,12.6,7.5,5.4,3.4,0.5365,0.5433,trace_fused_stress_500_v6b_r3-5_c-1.json
fused_stress_500,v6b,v6b_r4-5_c-1,"Schema 6b (-, 4, 5, -1)","(-, 4, 5, -1)","Centrality Anchors + Heavy [4, 5] + Stem Dedup + Fix B",6.23,332.37,23.52,0.2,60.1,4.79,226.59,85.5,92.9,94.6,95.9,72.1,83.6,87.9,91.3,12.7,7.6,5.4,3.4,0.5477,0.5539,trace_fused_stress_500_v6b_r4-5_c-1.json
fused_stress_500,v6b,v6b_r2-5_c-1,"Schema 6b (-, 2, 5, -1)","(-, 2, 5, -1)","Centrality Anchors + Dynamic [2, 5] + Stem Dedup + Fix B",6.23,332.37,19.66,0.2,51.7,4.18,204.12,85.1,92.6,94.3,96.0,71.9,83.5,87.7,91.1,12.6,7.5,5.4,3.4,0.5348,0.541,trace_fused_stress_500_v6b_r2-5_c-1.json
enterpriserag_stress_1000,v1,v1_baseline,"Schema 1 Baseline (3,3,3,-1)","(3, 3, 3, -1)","Primary Baseline Reference (R=3, C_exp=2)",11.73,339.0,23.46,0.0,61.6,3.0,66.58,82.0,85.6,87.6,89.8,58.3,67.3,71.4,75.7,15.7,10.2,7.6,5.0,0.5549,0.5589,trace_enterpriserag_stress_1000_v1_baseline.json
enterpriserag_stress_1000,v5b,v5b_r3-5_c-1,"Schema 5b (-, 3, 5, -1)","(-, 3, 5, -1)","Schema 5b Safe High-Floor (R in [3, 5])",11.73,339.0,39.22,0.0,94.1,4.35,80.59,81.6,85.0,87.6,91.0,58.9,67.0,71.4,76.8,15.9,10.3,7.6,5.0,0.5918,0.5963,trace_enterpriserag_stress_1000_v5b_r3-5_c-1.json
enterpriserag_stress_1000,v5b,v5b_r4-5_c-1,"Schema 5b (-, 4, 5, -1)","(-, 4, 5, -1)","Schema 5b Heavy Entity Booster (R in [4, 5])",11.73,339.0,43.69,0.0,103.3,4.74,84.51,81.8,85.4,88.0,90.4,59.0,67.3,72.0,75.9,16.1,10.3,7.6,5.0,0.5986,0.6028,trace_enterpriserag_stress_1000_v5b_r4-5_c-1.json
enterpriserag_stress_1000,v6a,v6a_n3_r2-5_c-1,"Schema 6a (3, 2, 5, -1)","(3, 2, 5, -1)",Centrality Anchors + Fixed 3x + Stem Dedup + Fix B,11.0,333.32,33.46,0.0,69.9,3.0,98.05,79.4,85.2,87.6,89.4,56.7,66.2,70.6,75.0,15.0,10.1,7.5,5.0,0.5138,0.5194,trace_enterpriserag_stress_1000_v6a_n3_r2-5_c-1.json
enterpriserag_stress_1000,v6a,v6a_n4_r2-5_c-1,"Schema 6a (4, 2, 5, -1)","(4, 2, 5, -1)",Centrality Anchors + Fixed 4x + Stem Dedup + Fix B,11.0,333.32,33.46,0.0,80.9,4.0,101.73,79.8,85.8,88.0,89.4,57.8,67.0,71.9,75.5,15.6,10.2,7.6,5.0,0.5762,0.5819,trace_enterpriserag_stress_1000_v6a_n4_r2-5_c-1.json
enterpriserag_stress_1000,v6b,v6b_r2-4_c-1,"Schema 6b (-, 2, 4, -1)","(-, 2, 4, -1)","Centrality Anchors + Dynamic [2, 4] + Stem Dedup + Fix B",11.0,333.32,25.95,0.0,66.0,3.37,95.38,80.4,84.6,87.6,88.6,58.2,66.2,70.9,74.6,15.6,10.1,7.5,4.9,0.5765,0.5809,trace_enterpriserag_stress_1000_v6b_r2-4_c-1.json
enterpriserag_stress_1000,v6b,v6b_r3-5_c-1,"Schema 6b (-, 3, 5, -1)","(-, 3, 5, -1)","Centrality Anchors + Dynamic [3, 5] + Stem Dedup + Fix B",11.0,333.32,36.95,0.0,88.7,4.37,105.61,80.2,85.0,87.6,89.6,57.8,66.8,71.4,75.2,15.6,10.2,7.6,5.0,0.5954,0.6004,trace_enterpriserag_stress_1000_v6b_r3-5_c-1.json
enterpriserag_stress_1000,v6b,v6b_r4-5_c-1,"Schema 6b (-, 4, 5, -1)","(-, 4, 5, -1)","Centrality Anchors + Heavy [4, 5] + Stem Dedup + Fix B",11.0,333.32,41.22,0.0,97.4,4.75,109.08,80.4,86.0,87.6,90.0,58.2,67.2,71.2,75.8,15.9,10.2,7.5,5.0,0.5963,0.6016,trace_enterpriserag_stress_1000_v6b_r4-5_c-1.json
enterpriserag_stress_1000,v6b,v6b_r2-5_c-1,"Schema 6b (-, 2, 5, -1)","(-, 2, 5, -1)","Centrality Anchors + Dynamic [2, 5] + Stem Dedup + Fix B",11.0,333.32,33.46,0.0,81.5,4.06,102.1,80.8,85.0,87.8,89.8,58.5,67.0,70.9,75.0,15.8,10.1,7.5,5.0,0.5851,0.5896,trace_enterpriserag_stress_1000_v6b_r2-5_c-1.json
liverag_stress_full,v1,v1_baseline,"Schema 1 Baseline (3,3,3,-1)","(3, 3, 3, -1)","Primary Baseline Reference (R=3, C_exp=2)",5.59,158.57,11.03,1.7,31.1,3.0,37.77,93.1,95.0,96.2,97.2,78.9,83.2,85.4,87.4,18.4,9.9,6.8,4.2,0.7996,0.8018,trace_liverag_stress_full_v1_baseline.json
liverag_stress_full,v5b,v5b_r3-5_c-1,"Schema 5b (-, 3, 5, -1)","(-, 3, 5, -1)","Schema 5b Safe High-Floor (R in [3, 5])",5.59,158.57,19.15,2.8,49.2,4.54,43.06,93.3,95.8,96.5,97.1,79.6,84.0,85.8,87.5,18.7,10.0,6.8,4.2,0.8339,0.836,trace_liverag_stress_full_v5b_r3-5_c-1.json
liverag_stress_full,v5b,v5b_r4-5_c-1,"Schema 5b (-, 4, 5, -1)","(-, 4, 5, -1)","Schema 5b Heavy Entity Booster (R in [4, 5])",5.59,158.57,21.38,2.9,54.0,4.92,44.2,93.2,95.3,96.2,97.0,79.1,83.7,85.4,87.5,18.5,10.0,6.8,4.2,0.8321,0.8342,trace_liverag_stress_full_v5b_r4-5_c-1.json
liverag_stress_full,v6a,v6a_n3_r2-5_c-1,"Schema 6a (3, 2, 5, -1)","(3, 2, 5, -1)",Centrality Anchors + Fixed 3x + Stem Dedup + Fix B,5.51,152.22,17.77,2.9,39.0,3.0,67.01,92.6,95.5,96.3,97.3,77.3,82.9,85.3,87.4,18.0,9.8,6.8,4.2,0.7677,0.7703,trace_liverag_stress_full_v6a_n3_r2-5_c-1.json
liverag_stress_full,v6a,v6a_n4_r2-5_c-1,"Schema 6a (4, 2, 5, -1)","(4, 2, 5, -1)",Centrality Anchors + Fixed 4x + Stem Dedup + Fix B,5.51,152.22,17.77,2.9,44.5,4.0,68.28,93.6,96.1,96.5,97.4,78.9,84.3,85.9,87.6,18.4,10.0,6.8,4.2,0.8185,0.8206,trace_liverag_stress_full_v6a_n4_r2-5_c-1.json
liverag_stress_full,v6b,v6b_r2-4_c-1,"Schema 6b (-, 2, 4, -1)","(-, 2, 4, -1)","Centrality Anchors + Dynamic [2, 4] + Stem Dedup + Fix B",5.51,152.22,13.49,2.3,36.7,3.54,66.05,93.4,96.0,96.5,97.4,79.2,84.0,85.9,87.7,18.6,10.0,6.9,4.2,0.8246,0.827,trace_liverag_stress_full_v6b_r2-4_c-1.json
liverag_stress_full,v6b,v6b_r3-5_c-1,"Schema 6b (-, 3, 5, -1)","(-, 3, 5, -1)","Centrality Anchors + Dynamic [3, 5] + Stem Dedup + Fix B",5.51,152.22,18.84,2.9,48.5,4.54,69.37,94.0,96.1,96.6,97.4,80.1,84.5,86.1,87.7,18.7,10.0,6.8,4.2,0.8364,0.8382,trace_liverag_stress_full_v6b_r3-5_c-1.json
liverag_stress_full,v6b,v6b_r4-5_c-1,"Schema 6b (-, 4, 5, -1)","(-, 4, 5, -1)","Centrality Anchors + Heavy [4, 5] + Stem Dedup + Fix B",5.51,152.22,20.99,3.0,53.2,4.91,70.63,93.7,95.8,96.4,97.3,79.4,84.3,86.0,87.8,18.6,10.0,6.8,4.2,0.8402,0.8422,trace_liverag_stress_full_v6b_r4-5_c-1.json
liverag_stress_full,v6b,v6b_r2-5_c-1,"Schema 6b (-, 2, 5, -1)","(-, 2, 5, -1)","Centrality Anchors + Dynamic [2, 5] + Stem Dedup + Fix B",5.51,152.22,17.77,2.9,46.2,4.35,68.58,93.5,96.0,96.5,97.4,79.7,84.5,86.1,87.8,18.7,10.1,6.8,4.2,0.8326,0.8348,trace_liverag_stress_full_v6b_r2-5_c-1.json
