stage,config_id,dataset,category,model_family,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_anchors,avg_synonyms,starved_aspects_mean
stage2,gate_dtau_-0.25__beta_1.0__single,enterpriserag_doc_level,Edge-RAG,v7,"Gate d_tau=-0.25 (beta=1.0, single)","delta_tau=-0.25, beta=1.0, gate=single",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.55,96.14,97.23,97.61,13.66,7.23,4.91,2.98,0.8301,123.15,129.53,197.42,0.0,0.0,21.91,47215.93,0.0
stage2,gate_dtau_-0.20__beta_1.0__single,enterpriserag_doc_level,Edge-RAG,v7,"Gate d_tau=-0.20 (beta=1.0, single)","delta_tau=-0.2, beta=1.0, gate=single",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.51,96.14,97.23,97.61,13.64,7.23,4.91,2.98,0.8301,120.93,126.23,187.76,0.0,0.0,21.91,44732.62,0.0
stage2,gate_dtau_-0.15__beta_1.0__single,enterpriserag_doc_level,Edge-RAG,v7,"Gate d_tau=-0.15 (beta=1.0, single)","delta_tau=-0.15, beta=1.0, gate=single",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.51,96.14,97.23,97.61,13.64,7.23,4.91,2.98,0.8301,113.45,119.46,180.51,0.0,0.0,21.91,41244.8,0.0
stage2,gate_dtau_-0.10__beta_1.0__single,enterpriserag_doc_level,Edge-RAG,v7,"Gate d_tau=-0.10 (beta=1.0, single)","delta_tau=-0.1, beta=1.0, gate=single",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.51,96.14,97.23,97.61,13.64,7.23,4.91,2.98,0.8301,103.14,109.46,165.09,0.0,0.0,21.91,36272.52,0.0
stage2,gate_dtau_-0.05__beta_1.0__single,enterpriserag_doc_level,Edge-RAG,v7,"Gate d_tau=-0.05 (beta=1.0, single)","delta_tau=-0.05, beta=1.0, gate=single",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.47,96.14,97.23,97.61,13.62,7.23,4.91,2.98,0.8304,88.5,92.99,137.31,0.0,0.0,21.91,29435.64,0.0
stage2,gate_dtau_+0.00__beta_1.0__single,enterpriserag_doc_level,Edge-RAG,v7,"Gate d_tau=+0.00 (beta=1.0, single)","delta_tau=0.0, beta=1.0, gate=single",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.47,96.14,97.23,97.61,13.62,7.23,4.91,2.98,0.8304,72.11,74.62,104.69,0.0,0.0,21.91,21740.78,0.0
stage2,gate_dtau_+0.05__beta_1.0__single,enterpriserag_doc_level,Edge-RAG,v7,"Gate d_tau=+0.05 (beta=1.0, single)","delta_tau=0.05, beta=1.0, gate=single",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.47,96.14,97.23,97.61,13.62,7.23,4.91,2.98,0.8303,58.55,60.41,83.57,0.0,0.0,21.91,15521.68,0.0
stage2,gate_dtau_+0.10__beta_1.0__single,enterpriserag_doc_level,Edge-RAG,v7,"Gate d_tau=+0.10 (beta=1.0, single)","delta_tau=0.1, beta=1.0, gate=single",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.47,96.14,97.23,97.63,13.62,7.23,4.91,2.99,0.8297,49.4,50.74,68.04,0.0,0.0,21.91,11244.56,0.0
stage2,gate_dtau_+0.15__beta_1.0__single,enterpriserag_doc_level,Edge-RAG,v7,"Gate d_tau=+0.15 (beta=1.0, single)","delta_tau=0.15, beta=1.0, gate=single",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.47,96.14,97.23,97.63,13.62,7.23,4.91,2.99,0.8333,43.14,44.28,58.44,0.0,0.0,21.91,8345.55,0.09
stage2,gate_dtau_+0.20__beta_1.0__single,enterpriserag_doc_level,Edge-RAG,v7,"Gate d_tau=+0.20 (beta=1.0, single)","delta_tau=0.2, beta=1.0, gate=single",500,94.68,97.45,98.3,98.3,89.57,94.47,95.96,96.6,92.68,96.14,97.23,97.63,13.64,7.23,4.91,2.99,0.8314,38.97,39.45,51.31,0.0,0.0,21.91,6344.54,0.54
stage2,gate_dtau_+0.25__beta_1.0__single,enterpriserag_doc_level,Edge-RAG,v7,"Gate d_tau=+0.25 (beta=1.0, single)","delta_tau=0.25, beta=1.0, gate=single",500,93.83,97.23,98.09,98.09,89.15,94.26,95.74,96.38,91.91,95.88,96.97,97.35,13.57,7.2,4.89,2.97,0.8293,35.06,35.62,45.54,0.0,0.0,21.91,4886.2,1.13
stage2,gate_beta_0.00__dtau_0.0__single,enterpriserag_doc_level,Edge-RAG,v7,"Gate beta=0.00 (d_tau=0.0, single)","beta=0.0, delta_tau=0.0, gate=single",500,94.26,97.45,98.3,98.51,89.15,94.47,95.96,96.81,92.3,96.14,97.27,97.85,13.62,7.23,4.91,2.99,0.8273,35.42,37.07,47.2,0.0,0.0,21.91,2303.73,0.0
stage2,gate_beta_0.50__dtau_0.0__single,enterpriserag_doc_level,Edge-RAG,v7,"Gate beta=0.50 (d_tau=0.0, single)","beta=0.5, delta_tau=0.0, gate=single",500,94.26,97.66,98.3,98.3,89.15,94.68,95.96,96.6,92.3,96.35,97.23,97.63,13.62,7.24,4.91,2.99,0.8293,43.0,43.95,58.26,0.0,0.0,21.91,4368.21,0.0
stage2,gate_beta_0.65__dtau_0.0__single,enterpriserag_doc_level,Edge-RAG,v7,"Gate beta=0.65 (d_tau=0.0, single)","beta=0.65, delta_tau=0.0, gate=single",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.51,96.14,97.23,97.63,13.64,7.23,4.91,2.99,0.8289,51.87,52.86,70.95,0.0,0.0,21.91,7451.35,0.0
stage2,gate_beta_1.00__dtau_0.0__single,enterpriserag_doc_level,Edge-RAG,v7,"Gate beta=1.00 (d_tau=0.0, single)","beta=1.0, delta_tau=0.0, gate=single",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.47,96.14,97.23,97.61,13.62,7.23,4.91,2.98,0.8304,70.38,73.09,103.51,0.0,0.0,21.91,21740.78,0.0
stage2,gate_variant_single__dtau_0.0__beta_1.0,enterpriserag_doc_level,Edge-RAG,v7,Gate Variant: single,"gate_variant=single, delta_tau=0.0, beta=1.0",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.47,96.14,97.23,97.61,13.62,7.23,4.91,2.98,0.8304,70.61,73.0,105.55,0.0,0.0,21.91,21740.78,0.0
stage2,gate_variant_two_gate__dtau_0.0__beta_1.0,enterpriserag_doc_level,Edge-RAG,v7,Gate Variant: two_gate,"gate_variant=two_gate, delta_tau=0.0, beta=1.0",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.47,96.14,97.23,97.63,13.62,7.23,4.91,2.99,0.8304,78.89,81.14,110.05,0.0,0.0,21.91,19302.96,0.0
stage2,gate_variant_soft_reweight__dtau_0.0__beta_1.0,enterpriserag_doc_level,Edge-RAG,v7,Gate Variant: soft_reweight,"gate_variant=soft_reweight, delta_tau=0.0, beta=1.0",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.47,96.14,97.23,97.61,13.62,7.23,4.91,2.98,0.8304,85.93,89.25,123.58,0.0,0.0,21.91,21740.78,0.0
stage2,gate_dtau_-0.25__beta_1.0__single,liverag_doc_level,Edge-RAG,v7,"Gate d_tau=-0.25 (beta=1.0, single)","delta_tau=-0.25, beta=1.0, gate=single",895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.93,73.52,75.31,104.47,0.0,0.0,11.31,22226.95,0.0
stage2,gate_dtau_-0.20__beta_1.0__single,liverag_doc_level,Edge-RAG,v7,"Gate d_tau=-0.20 (beta=1.0, single)","delta_tau=-0.2, beta=1.0, gate=single",895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.9298,71.23,72.52,99.6,0.0,0.0,11.31,20557.27,0.0
stage2,gate_dtau_-0.15__beta_1.0__single,liverag_doc_level,Edge-RAG,v7,"Gate d_tau=-0.15 (beta=1.0, single)","delta_tau=-0.15, beta=1.0, gate=single",895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.9298,65.91,67.35,92.03,0.0,0.0,11.31,18066.03,0.0
stage2,gate_dtau_-0.10__beta_1.0__single,liverag_doc_level,Edge-RAG,v7,"Gate d_tau=-0.10 (beta=1.0, single)","delta_tau=-0.1, beta=1.0, gate=single",895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.93,57.69,58.76,78.37,0.0,0.0,11.31,14360.84,0.0
stage2,gate_dtau_-0.05__beta_1.0__single,liverag_doc_level,Edge-RAG,v7,"Gate d_tau=-0.05 (beta=1.0, single)","delta_tau=-0.05, beta=1.0, gate=single",895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.9296,46.13,46.38,60.66,0.0,0.0,11.31,9437.79,0.0
stage2,gate_dtau_+0.00__beta_1.0__single,liverag_doc_level,Edge-RAG,v7,"Gate d_tau=+0.00 (beta=1.0, single)","delta_tau=0.0, beta=1.0, gate=single",895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.9303,34.37,34.46,44.32,0.0,0.0,11.31,5184.41,0.0
