stage,config_id,dataset,category,model_family,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_anchors,avg_synonyms,starved_aspects_mean
stage1,pool_strat_coverage__N_2500,enterpriserag_doc_level,Edge-RAG,v7,Pool Strategy: coverage (N=2500),"strategy=coverage, N=2500",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.47,96.14,97.23,97.61,13.62,7.23,4.91,2.98,0.8304,67.3,69.61,99.04,7.899,0.384,21.91,21740.78,0.0
stage1,pool_strat_salience__N_2500,enterpriserag_doc_level,Edge-RAG,v7,Pool Strategy: salience (N=2500),"strategy=salience, N=2500",500,93.62,96.6,97.45,98.72,89.15,93.4,95.32,97.02,91.83,95.31,96.59,98.11,13.68,7.19,4.91,3.0,0.8638,95.83,100.07,146.89,2.744,0.289,21.91,39070.81,0.0
stage1,pool_strat_idf__N_2500,enterpriserag_doc_level,Edge-RAG,v7,Pool Strategy: idf (N=2500),"strategy=idf, N=2500",500,93.83,97.02,97.66,98.94,89.36,94.04,95.53,97.23,92.05,95.89,96.82,98.32,13.7,7.24,4.92,3.0,0.8702,78.96,81.94,117.8,0.955,1.506,21.91,29055.13,0.0
stage1,pool_strat_random__N_2500,enterpriserag_doc_level,Edge-RAG,v7,Pool Strategy: random (N=2500),"strategy=random, N=2500",500,93.62,97.02,97.66,98.72,89.15,94.04,95.53,97.02,91.83,95.89,96.82,98.11,13.68,7.24,4.92,3.0,0.8698,85.56,88.95,130.51,0.515,1.506,21.91,31099.83,0.0
stage1,pool_size_coverage__N_500,enterpriserag_doc_level,Edge-RAG,v7,Pool Size: coverage (N=500),"strategy=coverage, N=500",500,94.26,97.66,98.3,98.3,89.15,94.68,95.96,96.6,92.26,96.35,97.23,97.63,13.6,7.24,4.91,2.99,0.8268,25.14,25.16,30.39,4.46,1.506,21.91,2765.28,0.0
stage1,pool_size_coverage__N_1000,enterpriserag_doc_level,Edge-RAG,v7,Pool Size: coverage (N=1000),"strategy=coverage, N=1000",500,94.26,97.66,98.3,98.3,89.15,94.68,95.96,96.6,92.26,96.35,97.23,97.63,13.6,7.24,4.91,2.99,0.8287,34.24,34.75,44.12,4.376,1.506,21.91,6847.37,0.0
stage1,pool_size_coverage__N_2500,enterpriserag_doc_level,Edge-RAG,v7,Pool Size: coverage (N=2500),"strategy=coverage, N=2500",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.47,96.14,97.23,97.61,13.62,7.23,4.91,2.98,0.8304,68.32,70.58,99.14,4.745,1.506,21.91,21740.78,0.0
stage1,pool_size_coverage__N_5000,enterpriserag_doc_level,Edge-RAG,v7,Pool Size: coverage (N=5000),"strategy=coverage, N=5000",500,94.26,97.66,98.3,98.51,89.15,94.68,95.96,96.81,92.26,96.35,97.23,97.82,13.6,7.24,4.91,2.99,0.8312,137.96,143.8,213.47,5.388,1.506,21.91,50365.6,0.0
stage1,pool_strat_coverage__N_2500,liverag_doc_level,Edge-RAG,v7,Pool Strategy: coverage (N=2500),"strategy=coverage, N=2500",895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.9303,33.59,33.63,42.97,4.332,1.506,11.31,5184.41,0.0
stage1,pool_strat_salience__N_2500,liverag_doc_level,Edge-RAG,v7,Pool Strategy: salience (N=2500),"strategy=salience, N=2500",895,97.77,98.32,98.66,98.99,96.87,97.77,98.21,98.66,97.32,98.04,98.44,98.83,11.21,5.65,3.78,2.28,0.9376,65.61,66.92,96.03,0.135,1.506,11.31,20375.7,0.0
