stage,config_id,dataset,category,model_family,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_anchors,avg_synonyms,starved_aspects_mean
stage4,v7_frozen_candidate_A,enterpriserag_doc_level,Edge-RAG,v7,"V7 Candidate A (dtau=+0.05, mu=0.50, eps=0.005)","dtau=0.05, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.005, N=2500",500,94.47,97.66,98.3,98.51,89.36,94.68,95.96,96.81,92.51,96.35,97.23,97.85,13.64,7.24,4.91,2.99,0.8294,30.43,31.01,40.97,0.0,0.0,21.91,23.89,0.0
stage4,v7_frozen_candidate_B,enterpriserag_doc_level,Edge-RAG,v7,"V7 Candidate B (dtau=+0.10, mu=0.50, eps=0.010)","dtau=0.10, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.010, N=2500",500,94.47,97.66,98.3,98.51,89.36,94.68,95.96,96.81,92.51,96.35,97.23,97.85,13.64,7.24,4.91,2.99,0.8295,27.43,27.7,35.37,0.0,0.0,21.91,28.24,0.0
stage4,v7_frozen_candidate_C,enterpriserag_doc_level,Edge-RAG,v7,"V7 Candidate C (dtau=0.00, mu=0.50, eps=0.005)","dtau=0.00, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.005, N=2500",500,94.26,97.66,98.3,98.51,89.15,94.68,95.96,96.81,92.3,96.35,97.23,97.85,13.62,7.24,4.91,2.99,0.8299,35.23,36.21,49.37,0.0,0.0,21.91,0.11,0.0
stage4,v7_frozen_candidate_A,liverag_doc_level,Edge-RAG,v7,"V7 Candidate A (dtau=+0.05, mu=0.50, eps=0.005)","dtau=0.05, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.005, N=2500",895,97.88,98.32,98.66,98.88,96.98,97.99,98.32,98.66,97.43,98.16,98.49,98.77,11.22,5.66,3.79,2.28,0.9297,19.52,19.48,23.28,0.0,0.0,11.31,96.7,0.0
stage4,v7_frozen_candidate_B,liverag_doc_level,Edge-RAG,v7,"V7 Candidate B (dtau=+0.10, mu=0.50, eps=0.010)","dtau=0.10, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.010, N=2500",895,97.99,98.44,98.66,98.88,97.21,98.1,98.32,98.66,97.6,98.27,98.49,98.77,11.24,5.66,3.79,2.28,0.9307,18.28,18.25,21.34,0.0,0.0,11.31,39.61,0.05
stage4,v7_frozen_candidate_C,liverag_doc_level,Edge-RAG,v7,"V7 Candidate C (dtau=0.00, mu=0.50, eps=0.005)","dtau=0.00, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.005, N=2500",895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.9298,20.63,20.78,25.39,0.0,0.0,11.31,3.53,0.0
stage4,v7_frozen_candidate_A,beir_scifact_doc_level,Edge-RAG,v7,"V7 Candidate A (dtau=+0.05, mu=0.50, eps=0.005)","dtau=0.05, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.005, N=2500",300,79.67,85.67,86.67,88.0,76.0,82.33,84.0,87.0,77.69,84.0,85.58,87.66,8.53,4.65,3.2,1.99,0.6023,20.06,20.18,24.21,0.0,0.0,9.13,46.18,0.0
stage4,v7_frozen_candidate_B,beir_scifact_doc_level,Edge-RAG,v7,"V7 Candidate B (dtau=+0.10, mu=0.50, eps=0.010)","dtau=0.10, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.010, N=2500",300,79.67,85.67,86.67,88.33,76.0,82.33,84.0,87.33,77.69,84.0,85.58,87.99,8.53,4.65,3.2,2.0,0.6024,18.77,18.87,21.94,0.0,0.0,9.13,35.17,0.01
stage4,v7_frozen_candidate_C,beir_scifact_doc_level,Edge-RAG,v7,"V7 Candidate C (dtau=0.00, mu=0.50, eps=0.005)","dtau=0.00, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.005, N=2500",300,79.67,85.67,86.67,88.0,76.0,82.33,84.0,87.0,77.69,84.0,85.58,87.66,8.53,4.65,3.2,1.99,0.6023,22.16,22.47,28.25,0.0,0.0,9.13,0.24,0.0
stage4,v7_frozen_candidate_A,beir_nfcorpus_doc_level,Edge-RAG,v7,"V7 Candidate A (dtau=+0.05, mu=0.50, eps=0.005)","dtau=0.05, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.005, N=2500",323,69.66,73.68,75.85,77.71,4.64,4.95,4.95,5.57,15.34,18.38,19.92,22.52,23.1,16.63,13.25,10.04,0.5376,15.14,15.2,19.09,0.0,0.0,2.76,15.3,0.0
stage4,v7_frozen_candidate_B,beir_nfcorpus_doc_level,Edge-RAG,v7,"V7 Candidate B (dtau=+0.10, mu=0.50, eps=0.010)","dtau=0.10, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.010, N=2500",323,69.66,74.3,76.47,77.4,4.33,4.64,4.64,4.95,15.24,18.31,19.83,22.08,23.22,16.76,13.43,10.13,0.5389,14.34,14.67,17.91,0.0,0.0,2.76,12.61,0.01
