stage,config_id,dataset,category,model_family,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_anchors,avg_synonyms,starved_aspects_mean
stage1,pool__idf__N_1000,enterpriserag_doc_level,Edge-RAG,v7,Pool idf (N=1000),"strategy=idf, N=1000, size_opt=1000",500,93.83,97.23,97.66,98.94,89.36,94.26,95.53,97.23,92.05,96.08,96.82,98.32,13.7,7.24,4.92,3.0,0.8697,40.85,42.95,56.6,3.87,0.659,21.91,11307.96,0.0
stage1,pool__idf__N_1500,enterpriserag_doc_level,Edge-RAG,v7,Pool idf (N=1500),"strategy=idf, N=1500, size_opt=1500",500,93.83,97.23,97.66,98.94,89.36,94.26,95.53,97.23,92.05,96.08,96.82,98.32,13.7,7.24,4.92,3.0,0.8695,53.86,55.95,78.03,0.539,0.94,21.91,17110.54,0.0
stage1,pool__idf__N_2000,enterpriserag_doc_level,Edge-RAG,v7,Pool idf (N=2000),"strategy=idf, N=2000, size_opt=2000",500,93.83,97.02,97.66,98.94,89.36,94.04,95.53,97.23,92.05,95.89,96.82,98.32,13.7,7.24,4.92,3.0,0.87,66.99,69.47,99.02,0.636,1.222,21.91,23002.15,0.0
stage1,pool__idf__N_2500,enterpriserag_doc_level,Edge-RAG,v7,Pool idf (N=2500),"strategy=idf, N=2500, size_opt=2500",500,93.83,97.02,97.66,98.94,89.36,94.04,95.53,97.23,92.05,95.89,96.82,98.32,13.7,7.24,4.92,3.0,0.8702,80.53,84.01,122.22,0.797,1.503,21.91,29055.13,0.0
stage1,pool__idf__N_5pct_1897,enterpriserag_doc_level,Edge-RAG,v7,Pool idf (N=5pct_1897),"strategy=idf, N=1897, size_opt=5%",500,93.83,97.02,97.66,98.94,89.36,94.04,95.53,97.23,92.05,95.89,96.82,98.32,13.7,7.24,4.92,3.0,0.87,64.46,66.48,93.62,0.629,1.503,21.91,21764.5,0.0
stage1,pool__idf__N_10pct_3794,enterpriserag_doc_level,Edge-RAG,v7,Pool idf (N=10pct_3794),"strategy=idf, N=3794, size_opt=10%",500,93.83,97.02,97.66,98.94,89.36,94.04,95.53,97.23,92.05,95.89,96.82,98.32,13.7,7.24,4.92,3.0,0.8701,114.78,119.64,173.14,1.182,2.233,21.91,44053.19,0.0
stage1,pool__salience__N_1000,enterpriserag_doc_level,Edge-RAG,v7,Pool salience (N=1000),"strategy=salience, N=1000, size_opt=1000",500,93.62,96.6,97.45,98.72,89.15,93.4,95.32,97.02,91.8,95.31,96.59,98.11,13.66,7.19,4.91,3.0,0.8645,49.46,50.74,70.58,0.057,2.233,21.91,15654.61,0.0
stage1,pool__salience__N_1500,enterpriserag_doc_level,Edge-RAG,v7,Pool salience (N=1500),"strategy=salience, N=1500, size_opt=1500",500,93.62,96.6,97.45,98.72,89.15,93.4,95.32,97.02,91.83,95.31,96.56,98.11,13.68,7.19,4.9,3.0,0.865,66.29,68.22,96.49,0.088,2.233,21.91,23482.82,0.0
stage1,pool__salience__N_2000,enterpriserag_doc_level,Edge-RAG,v7,Pool salience (N=2000),"strategy=salience, N=2000, size_opt=2000",500,93.62,96.6,97.45,98.72,89.15,93.4,95.32,97.02,91.77,95.31,96.56,98.11,13.64,7.19,4.9,3.0,0.8648,81.71,85.02,123.29,0.129,2.233,21.91,31229.96,0.0
stage1,pool__salience__N_2500,enterpriserag_doc_level,Edge-RAG,v7,Pool salience (N=2500),"strategy=salience, N=2500, size_opt=2500",500,93.62,96.6,97.45,98.72,89.15,93.4,95.32,97.02,91.83,95.31,96.59,98.11,13.68,7.19,4.91,3.0,0.8638,98.58,102.99,150.68,0.203,2.233,21.91,39070.81,0.0
