dataset,category,model_family,config_label,p,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,ndcg_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_qaug_len,avg_anchors,avg_synonyms,avg_r_anchor
enterpriserag_doc_level,Baseline,BM25_Blank,bm25_blank,-,BM25 (Blank Baseline),"k1=1.2, b=0.75, whitespace",500,70.6,74.0,76.0,79.4,63.0,67.4,70.0,73.6,66.94,70.74,72.88,76.25,9.88,5.29,3.64,2.28,0.5794,0.5807,2.79,2.83,4.16,29.222,0.0,0.0,0.0,0.0,0.0
enterpriserag_doc_level,Baseline,BM25_Analyzed,bm25_analyzed,-,BM25 (Analyzed Baseline),"k1=1.2, b=0.75, kstem+wordnet",500,79.8,83.0,83.4,85.0,73.4,78.0,79.2,81.8,77.07,80.77,81.73,83.64,11.3,6.06,4.13,2.54,0.6773,0.6824,1.85,1.92,2.91,51.493,0.0,0.0,0.0,0.0,0.0
enterpriserag_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",500,59.2,64.4,66.8,70.0,50.2,54.6,57.8,60.8,54.09,58.72,61.53,64.87,7.6,4.17,2.95,1.86,0.4493,0.4471,66.59,66.93,69.83,67.516,1.285,0.0,0.0,0.0,0.0
enterpriserag_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert",500,73.6,76.6,78.8,81.8,63.6,67.6,70.2,74.0,68.47,72.24,74.76,78.27,9.68,5.22,3.62,2.29,0.6329,0.6173,94.42,95.75,101.93,507.898,4.794,0.0,0.0,0.0,0.0
enterpriserag_doc_level,Pipeline_V2,v7_current,v7_current,1.0,Edge-RAG V7 (GPU-Sparse Bailout),"p=1.0, tau=0.55, mu=0.50, bail_tau=0.80",500,79.8,81.8,83.2,85.0,73.2,77.0,78.8,81.8,76.85,79.69,81.39,83.7,11.38,6.04,4.13,2.56,0.682,0.687,13.87,14.37,17.45,65.99,0.386,0.0,0.0,0.0,0.0
liverag_doc_level,Baseline,BM25_Blank,bm25_blank,-,BM25 (Blank Baseline),"k1=1.2, b=0.75, whitespace",895,95.08,95.53,96.65,96.98,93.07,94.19,95.31,96.2,94.08,94.86,95.98,96.59,10.82,5.46,3.69,2.23,0.8807,0.8883,0.13,0.13,0.22,0.671,0.0,0.0,0.0,0.0,0.0
liverag_doc_level,Baseline,BM25_Analyzed,bm25_analyzed,-,BM25 (Analyzed Baseline),"k1=1.2, b=0.75, kstem+wordnet",895,97.54,98.44,98.66,98.99,96.87,97.99,98.32,98.66,97.21,98.21,98.49,98.83,11.21,5.66,3.78,2.28,0.9402,0.9428,0.15,0.15,0.24,1.744,0.0,0.0,0.0,0.0,0.0
liverag_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",895,96.76,97.88,97.99,98.55,95.64,97.32,97.65,98.32,96.2,97.6,97.82,98.44,11.08,5.63,3.77,2.27,0.9025,0.9118,11.51,11.56,11.95,1.584,1.223,0.0,0.0,0.0,0.0
liverag_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert",895,95.75,96.98,98.1,98.55,94.64,96.31,97.43,97.88,95.2,96.65,97.77,98.21,10.98,5.58,3.76,2.26,0.9107,0.9156,6.37,6.54,6.68,9.954,4.035,0.0,0.0,0.0,0.0
liverag_doc_level,Pipeline_V2,v7_current,v7_current,1.0,Edge-RAG V7 (GPU-Sparse Bailout),"p=1.0, tau=0.55, mu=0.50, bail_tau=0.80",895,98.1,98.55,98.88,99.22,97.43,98.21,98.66,98.99,97.77,98.38,98.77,99.11,11.26,5.67,3.8,2.29,0.9437,0.9473,8.98,8.96,10.32,6.457,0.383,0.0,0.0,0.0,0.0
