dataset,category,model_family,config_label,p,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_qaug_len,avg_anchors,avg_synonyms,avg_r_anchor
enterpriserag_doc_level,Baseline,BM25_Analyzed_Parity,bm25_analyzed_parity,-,BM25 (Analyzed Parity Baseline),"k1=1.2, b=0.75, kstem+wordnet",500,94.26,96.6,97.66,98.72,89.36,93.4,95.32,96.81,92.28,95.41,96.79,98.0,13.62,7.2,4.91,2.99,0.8683,0.27,0.28,0.43,2.173,0.0,0.0,0.0,0.0,0.0
enterpriserag_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",500,84.04,89.36,91.7,93.62,74.68,81.28,84.26,87.45,79.2,85.74,88.5,90.95,11.3,6.28,4.35,2.71,0.6955,13.45,13.82,15.18,2.98,1.223,0.0,0.0,0.0,0.0
enterpriserag_doc_level,Baseline,Dense_BGE_Large,dense_bge_large,-,Dense (bge-large-en-v1.5),"dim=1024, cosine, fp16",500,88.3,91.91,93.4,94.89,80.0,84.04,86.81,89.15,84.09,88.15,90.55,92.59,11.89,6.32,4.41,2.74,0.741,26.98,27.1,28.5,20.218,3.659,0.0,0.0,0.0,0.0
enterpriserag_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert",500,92.77,94.68,96.81,97.66,85.74,89.15,92.55,94.68,89.79,92.7,95.49,96.81,13.09,6.98,4.85,2.97,0.8285,8.01,8.5,9.46,20.013,4.049,0.0,0.0,0.0,0.0
enterpriserag_doc_level,Edge-RAG,v7,v7,1.0,Edge-RAG V7 Default (p=1.00),"p=1.00, tau_base=0.55, Delta_tau=0.0, mu=0.50, eta=0.0, eps=0.0",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.47,96.14,97.23,97.61,13.62,7.23,4.91,2.98,0.8304,66.18,68.0,95.62,12.184,0.384,0.0,0.0,0.0,0.0
liverag_doc_level,Baseline,BM25_Analyzed_Parity,bm25_analyzed_parity,-,BM25 (Analyzed Parity Baseline),"k1=1.2, b=0.75, kstem+wordnet",895,97.54,98.44,98.66,98.99,96.87,97.99,98.32,98.66,97.21,98.21,98.49,98.83,11.21,5.66,3.78,2.28,0.9402,0.15,0.36,0.25,1.524,0.0,0.0,0.0,0.0,0.0
liverag_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",895,96.76,97.88,97.99,98.55,95.64,97.32,97.65,98.32,96.2,97.6,97.82,98.44,11.08,5.63,3.77,2.27,0.9025,12.64,12.79,13.86,1.797,1.286,0.0,0.0,0.0,0.0
liverag_doc_level,Baseline,Dense_BGE_Large,dense_bge_large,-,Dense (bge-large-en-v1.5),"dim=1024, cosine, fp16",895,97.43,98.66,98.88,98.99,96.31,97.77,98.21,98.66,96.87,98.21,98.55,98.83,11.16,5.65,3.78,2.28,0.9236,24.3,24.44,25.79,12.407,3.722,0.0,0.0,0.0,0.0
liverag_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert",895,95.75,96.98,98.1,98.55,94.64,96.31,97.43,97.88,95.2,96.65,97.77,98.21,10.98,5.58,3.76,2.26,0.9107,7.05,7.18,8.4,11.427,4.098,0.0,0.0,0.0,0.0
liverag_doc_level,Edge-RAG,v7,v7,1.0,Edge-RAG V7 Default (p=1.00),"p=1.00, tau_base=0.55, Delta_tau=0.0, mu=0.50, eta=0.0, eps=0.0",895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.9303,33.63,33.84,43.64,8.29,0.267,0.0,0.0,0.0,0.0
beir_scifact_doc_level,Baseline,BM25_Analyzed_Parity,bm25_analyzed_parity,-,BM25 (Analyzed Parity Baseline),"k1=1.2, b=0.75, kstem+wordnet",300,80.33,84.67,86.67,88.0,77.67,81.0,83.33,85.67,79.0,82.77,85.04,87.02,8.63,4.57,3.16,1.97,0.627,0.19,0.19,0.3,1.674,0.0,0.0,0.0,0.0,0.0
beir_scifact_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",300,85.0,88.0,90.33,93.0,82.67,86.33,89.33,92.0,83.96,87.3,89.93,92.5,9.47,4.93,3.4,2.1,0.6825,17.65,17.75,18.46,5.545,1.349,0.0,0.0,0.0,0.0
