dataset,category,model_family,config_label,p,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_qaug_len,avg_anchors,avg_synonyms,avg_r_anchor
enterpriserag_doc_level,Baseline,BM25_Lucene,bm25_baseline,-,BM25 (Lucene Baseline),"k1=1.5, b=0.75",470,92.34,95.11,96.17,97.23,86.17,90.21,91.91,93.83,89.28,92.59,94.03,95.64,12.96,6.86,4.7,2.89,0.7937,0.27,0.28,0.41,0.964,0.0,30.7,0.0,0.0,0.0
enterpriserag_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine",470,84.04,89.36,91.7,93.62,74.68,81.28,84.26,87.45,79.2,85.74,88.5,90.95,11.3,6.28,4.35,2.71,0.6955,13.61,13.9,14.81,2.989,1.6,30.7,0.0,0.0,0.0
enterpriserag_doc_level,Baseline,Dense_BGE_Large,dense_bge_large,-,Dense (bge-large-en-v1.5),"dim=1024, cosine",470,88.3,91.91,93.4,94.89,80.0,84.04,86.81,89.15,84.09,88.15,90.55,92.59,11.89,6.32,4.41,2.74,0.741,26.42,26.55,27.85,19.429,2.6,30.7,0.0,0.0,0.0
enterpriserag_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert",470,92.77,94.68,96.81,97.66,85.74,89.15,92.55,94.68,89.79,92.7,95.49,96.81,13.09,6.98,4.85,2.97,0.8285,7.79,8.14,8.83,18.856,4.12,30.7,0.0,0.0,0.0
enterpriserag_doc_level,Edge-RAG,v1,v1_baseline,0.45,"Schema 1 Baseline (R=3, C_exp=2) (p=0.45)","R=3, C_exp=2, p=0.45",470,88.3,90.64,92.55,95.11,81.91,85.96,88.51,92.13,85.37,88.94,90.89,93.95,12.7,6.81,4.65,2.89,0.7562,37.17,37.87,47.73,1.736,0.09,31.5,11.03,22.06,3.0
enterpriserag_doc_level,Edge-RAG,v5a,v5a_n3_r2-5_c-1,0.45,"Schema 5a (Fixed 3x, [2,5], c=-1) (p=0.45)","n=3, r in [2,5], c=-1, p=0.45",470,88.3,90.64,92.55,95.11,81.91,85.96,88.51,92.13,85.37,88.94,90.89,93.95,12.7,6.81,4.65,2.89,0.7562,37.54,38.24,48.73,1.736,0.09,31.5,11.03,22.06,3.0
enterpriserag_doc_level,Edge-RAG,v5a,v5a_n4_r2-5_c-1,0.45,"Schema 5a (Fixed 4x, [2,5], c=-1) (p=0.45)","n=4, r in [2,5], c=-1, p=0.45",470,88.51,90.85,92.34,94.89,82.13,86.17,88.3,91.7,85.54,89.05,90.67,93.69,12.7,6.79,4.65,2.88,0.7607,37.82,38.36,48.24,1.736,0.09,31.5,11.03,22.06,3.0
enterpriserag_doc_level,Edge-RAG,v5b,v5b_r2-5_c-1,0.45,"Schema 5b (Dynamic Contrast [2,5], c=-1) (p=0.45)","r in [2,5], c=-1, p=0.45",470,88.3,92.13,92.98,95.32,81.7,87.23,88.94,92.13,85.0,90.16,91.25,94.01,12.55,6.8,4.65,2.89,0.7573,38.07,39.16,49.23,1.736,0.09,40.3,11.03,33.12,4.02
enterpriserag_doc_level,Edge-RAG,v5b,v5b_r3-5_c-1,0.45,"Schema 5b (High-Floor Safe [3,5], c=-1) (p=0.45)","r in [3,5], c=-1, p=0.45",470,88.51,91.91,93.19,95.11,82.13,87.45,89.15,92.13,85.37,90.14,91.53,93.86,12.6,6.84,4.67,2.88,0.7574,37.89,38.74,49.12,1.736,0.09,43.3,11.03,36.9,4.35
enterpriserag_doc_level,Edge-RAG,v5b,v5b_r4-5_c-1,0.45,"Schema 5b (Heavy Booster [4,5], c=-1) (p=0.45)","r in [4,5], c=-1, p=0.45",470,88.51,91.06,92.77,94.89,81.91,86.38,88.51,91.7,85.37,89.24,91.0,93.58,12.62,6.78,4.63,2.88,0.766,37.76,38.41,48.5,1.736,0.09,46.5,11.03,40.9,4.72
