dataset,policy,capacity,oracle_ndcg10,delta_ndcg10,oracle_r1000,delta_r1000,pct_retained_vs_eligible,recall_safe_query_rate,ranking_safe_query_rate
scifact,salience,1000,0.857300552264417,0.21289134280243738,1.0,0.020000000000000018,81.09050143240732,0.02,0.24
scifact,salience,2500,0.87606842603152,0.23165921656954036,1.0,0.020000000000000018,88.23920120836215,0.02,0.28
scifact,salience,5000,0.8935706265956107,0.24916141713363105,1.0,0.020000000000000018,94.90580493789824,0.02,0.3
scifact,salience,10000,0.9069446964078733,0.2625354869458937,1.0,0.020000000000000018,100.00000000000004,0.02,0.3
scifact,salience,15000,0.9069446964078733,0.2625354869458937,1.0,0.020000000000000018,100.00000000000004,0.02,0.3
scifact,salience,20000,0.9069446964078733,0.2625354869458937,1.0,0.020000000000000018,100.00000000000004,0.02,0.3
scifact,specificity,1000,0.8642145573148885,0.21980534785290884,0.9987999999999999,0.018799999999999928,83.72405209289246,0.02,0.22
scifact,specificity,2500,0.8958335704509198,0.25142436098894017,1.0,0.020000000000000018,95.76776226093834,0.02,0.3
scifact,specificity,5000,0.8958335704509198,0.25142436098894017,1.0,0.020000000000000018,95.76776226093834,0.02,0.3
scifact,specificity,10000,0.9069446964078733,0.2625354869458937,1.0,0.020000000000000018,100.00000000000004,0.02,0.3
scifact,specificity,15000,0.9069446964078733,0.2625354869458937,1.0,0.020000000000000018,100.00000000000004,0.02,0.3
scifact,specificity,20000,0.9069446964078733,0.2625354869458937,1.0,0.020000000000000018,100.00000000000004,0.02,0.3
scifact,hybrid,1000,0.8642145573148885,0.21980534785290884,0.9987999999999999,0.018799999999999928,83.72405209289246,0.02,0.22
scifact,hybrid,2500,0.8958335704509198,0.25142436098894017,1.0,0.020000000000000018,95.76776226093834,0.02,0.3
scifact,hybrid,5000,0.8958335704509198,0.25142436098894017,1.0,0.020000000000000018,95.76776226093834,0.02,0.3
scifact,hybrid,10000,0.9069446964078733,0.2625354869458937,1.0,0.020000000000000018,100.00000000000004,0.02,0.3
scifact,hybrid,15000,0.9069446964078733,0.2625354869458937,1.0,0.020000000000000018,100.00000000000004,0.02,0.3
scifact,hybrid,20000,0.9069446964078733,0.2625354869458937,1.0,0.020000000000000018,100.00000000000004,0.02,0.3
scifact,stratified,1000,0.8650755491038358,0.2206663396418561,1.0,0.020000000000000018,84.05200462950506,0.02,0.18
scifact,stratified,2500,0.8835706265956107,0.23916141713363104,1.0,0.020000000000000018,91.09679606205779,0.02,0.26
scifact,stratified,5000,0.8984521655223489,0.2540429560603692,1.0,0.020000000000000018,96.76518744786887,0.02,0.3
scifact,stratified,10000,0.9069446964078733,0.2625354869458937,1.0,0.020000000000000018,100.00000000000004,0.02,0.3
scifact,stratified,15000,0.9069446964078733,0.2625354869458937,1.0,0.020000000000000018,100.00000000000004,0.02,0.3
scifact,stratified,20000,0.9069446964078733,0.2625354869458937,1.0,0.020000000000000018,100.00000000000004,0.02,0.3
scifact,coverage,1000,0.8274292214913185,0.18302001202933882,1.0,0.020000000000000018,69.71248502761752,0.02,0.18
scifact,coverage,2500,0.8694458854846714,0.22503667602269173,1.0,0.020000000000000018,85.71666963600619,0.02,0.22
scifact,coverage,5000,0.8854416702689432,0.2410324608069635,1.0,0.020000000000000018,91.80947825793864,0.02,0.24
scifact,coverage,10000,0.904326101336444,0.2599168918744643,1.0,0.020000000000000018,99.0025748130694,0.02,0.3
scifact,coverage,15000,0.9069446964078733,0.2625354869458937,1.0,0.020000000000000018,100.00000000000004,0.02,0.3
scifact,coverage,20000,0.9069446964078733,0.2625354869458937,1.0,0.020000000000000018,100.00000000000004,0.02,0.3
bright_aops,salience,1000,0.0883026984104252,0.051075825331159716,0.5803571428571428,0.12142857142857139,58.54819057434355,0.02,0.02
bright_aops,salience,2500,0.10210130782279425,0.06487443474352876,0.6070238095238095,0.1480952380952381,74.36552897853474,0.02,0.02
bright_aops,salience,5000,0.11362667229793183,0.07639979921866634,0.6145238095238095,0.15559523809523806,87.57704795750377,0.04,0.02
bright_aops,salience,10000,0.12231918856017657,0.08509231548091108,0.6178571428571429,0.15892857142857147,97.54127458316736,0.04,0.02
bright_aops,salience,15000,0.12231918856017657,0.08509231548091108,0.6178571428571429,0.15892857142857147,97.54127458316736,0.04,0.02
