dataset,df_band,term_count,queries_with_candidates_pct,mean_max_delta_ndcg10,mean_max_delta_r1000,pct_queries_helped,pct_terms_ranking_useful,pct_terms_ranking_safe,pct_terms_recall_safe
scifact,DF=1,97,0.68,0.06394209369814913,0.02,0.14,0.47513812154696133,0.47513812154696133,0.08287292817679558
scifact,DF=2-5,190,0.88,0.21486370992205633,0.02,0.4,0.33125,0.33125,0.04375
scifact,DF=6-20,322,0.98,0.25064285663943137,0.02,0.44,0.2872727272727273,0.2872727272727273,0.030303030303030304
scifact,DF>20_rel>1%,1140,1.0,0.21131685599355066,0.02,0.44,0.1752598609485785,0.1752598609485785,0.03854890892820266
scifact,DF>20_rel_0.1-1%,353,0.98,0.213468567415701,0.02,0.44,0.24449877750611246,0.24449877750611246,0.034229828850855744
bright_aops,DF=1,70,0.82,0.0,0.0,0.0,0.0,0.0,0.0
bright_aops,DF=2-5,65,0.74,0.019487084287256408,0.05988095238095238,0.14,0.029197080291970802,0.029197080291970802,0.060218978102189784
bright_aops,DF=6-20,98,0.8,0.03498967757772289,0.06488095238095239,0.22,0.037815126050420166,0.037815126050420166,0.043697478991596636
bright_aops,DF>20_rel<0.1%,360,0.98,0.06474652285596806,0.13892857142857143,0.34,0.027936647602287725,0.027936647602287725,0.050813902331720194
bright_aops,DF>20_rel>1%,397,1.0,0.026632844000512204,0.10726190476190477,0.22,0.01345651737296646,0.01338956952533976,0.014059048001606749
bright_aops,DF>20_rel_0.1-1%,491,1.0,0.051959233466524625,0.14809523809523809,0.3,0.020146520146520148,0.020032051282051284,0.041437728937728936
nfcorpus,DF=1,3275,0.94,0.20168350123567896,0.1515083160482193,0.72,0.33504733528761593,0.33504733528761593,0.8842808400211447
nfcorpus,DF=2-5,3479,0.98,0.33875283278717494,0.2290809108541093,0.82,0.274835886214442,0.274835886214442,0.7260706470772116
nfcorpus,DF=6-20,2518,1.0,0.38140777647247326,0.2936515380268503,0.82,0.2108479598345645,0.2108479598345645,0.6680590135599498
nfcorpus,DF>20_rel>1%,1506,1.0,0.26809010420710844,0.44126345970103736,0.78,0.12951363587032358,0.1281415215739779,0.6740414580071009
nfcorpus,DF>20_rel_0.1-1%,701,1.0,0.2448664236867729,0.29688903556018714,0.78,0.1405436447166922,0.1403522205206738,0.6310490045941807
trec_covid,DF=1,3669,1.0,0.07179677668290241,0.003251636394494554,0.86,0.1332836932241251,0.1332836932241251,0.25378505832712833
trec_covid,DF=2-5,5753,1.0,0.142090876450954,0.0060042237724798,0.98,0.10898372795478904,0.09821689564454837,0.20422878300691805
trec_covid,DF=6-20,5892,1.0,0.18156455941733107,0.008974067343776823,0.98,0.08122518434486671,0.06012478729438457,0.14327850255246738
trec_covid,DF>20_rel<0.1%,8642,1.0,0.23015682071653756,0.02339433513300663,0.98,0.06319452182457277,0.0339195089091259,0.10986233653096161
trec_covid,DF>20_rel>1%,1288,1.0,0.2722892965457,0.07109119143549486,0.98,0.1409198155751012,0.058155895319388425,0.1367962306898617
trec_covid,DF>20_rel_0.1-1%,3770,1.0,0.2739428314228386,0.05836312371317018,0.98,0.06649169317312047,0.026240727155232915,0.09089970099131048
