dataset,policy,capacity_type,requested_capacity,effective_capacity_terms,actual_pct_eligible_vocab,oracle_ndcg10,delta_ndcg10,oracle_r1000,delta_r1000,pct_retained_vs_eligible,recall_safe_query_rate,ranking_safe_query_rate
scifact,salience,fixed,1000,1000,17.873100983020553,0.8573005522644169,0.21289134280243738,1.0,0.02,81.09050143240728,0.02,0.24
scifact,salience,fixed,2500,2500,44.68275245755138,0.8760684260315199,0.23165921656954033,1.0,0.02,88.23920120836209,0.02,0.28
scifact,salience,fixed,5000,5000,89.36550491510276,0.8935706265956107,0.24916141713363107,1.0,0.02,94.90580493789818,0.02,0.3
scifact,salience,fixed,10000,10000,178.73100983020552,0.9069446964078732,0.26253548694589374,1.0,0.02,100.0,0.02,0.3
scifact,salience,fixed,15000,15000,268.0965147453083,0.9069446964078732,0.26253548694589374,1.0,0.02,100.0,0.02,0.3
scifact,salience,fixed,20000,20000,357.46201966041104,0.9069446964078732,0.26253548694589374,1.0,0.02,100.0,0.02,0.3
scifact,salience,percentage,0.02,111,2.0,0.7614459085224293,0.11703669906044968,1.0,0.02,44.57938255203187,0.02,0.14
scifact,salience,percentage,0.05,279,5.0,0.8193162040406685,0.17490699457868883,1.0,0.02,66.62222947968006,0.02,0.16
scifact,salience,percentage,0.1,559,10.0,0.8424759619526416,0.19806675249066202,1.0,0.02,75.44380182458224,0.02,0.16
scifact,salience,percentage,0.15,839,15.0,0.853782924926098,0.2093737154641184,1.0,0.02,79.75063405705168,0.02,0.2
scifact,salience,percentage,0.2,1119,20.0,0.8573005522644169,0.21289134280243738,1.0,0.02,81.09050143240728,0.02,0.24
scifact,salience,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2500,44.68275245755138,0.8760684260315199,0.23165921656954033,1.0,0.02,88.23920120836209,0.02,0.28
scifact,specificity,fixed,1000,1000,17.873100983020553,0.8781685998185987,0.23375939035661922,1.0,0.02,89.03915926794117,0.02,0.22
scifact,specificity,fixed,2500,2500,44.68275245755138,0.8958335704509198,0.2514243609889402,1.0,0.02,95.7677622609383,0.02,0.3
scifact,specificity,fixed,5000,5000,89.36550491510276,0.8958335704509198,0.2514243609889402,1.0,0.02,95.7677622609383,0.02,0.3
scifact,specificity,fixed,10000,10000,178.73100983020552,0.9069446964078732,0.26253548694589374,1.0,0.02,100.0,0.02,0.3
scifact,specificity,fixed,15000,15000,268.0965147453083,0.9069446964078732,0.26253548694589374,1.0,0.02,100.0,0.02,0.3
scifact,specificity,fixed,20000,20000,357.46201966041104,0.9069446964078732,0.26253548694589374,1.0,0.02,100.0,0.02,0.3
scifact,specificity,percentage,0.02,111,2.0,0.7207636922781588,0.07635448281617933,0.98,0.0,29.083490275703312,0.0,0.12
scifact,specificity,percentage,0.05,279,5.0,0.7800213987256456,0.13561218926366592,1.0,0.02,51.654803257745655,0.02,0.2
scifact,specificity,percentage,0.1,559,10.0,0.8351715381729471,0.19076232871096746,1.0,0.02,72.66154032360657,0.02,0.2
scifact,specificity,percentage,0.15,839,15.0,0.8680473944307866,0.22363818496880705,1.0,0.02,85.18398315230311,0.02,0.2
scifact,specificity,percentage,0.2,1119,20.0,0.8781685998185987,0.23375939035661922,1.0,0.02,89.03915926794117,0.02,0.24
scifact,specificity,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2500,44.68275245755138,0.8958335704509198,0.2514243609889402,1.0,0.02,95.7677622609383,0.02,0.3
scifact,hybrid,fixed,1000,1000,17.873100983020553,0.8781685998185987,0.23375939035661922,1.0,0.02,89.03915926794117,0.02,0.22
scifact,hybrid,fixed,2500,2500,44.68275245755138,0.8958335704509198,0.2514243609889402,1.0,0.02,95.7677622609383,0.02,0.3
scifact,hybrid,fixed,5000,5000,89.36550491510276,0.8958335704509198,0.2514243609889402,1.0,0.02,95.7677622609383,0.02,0.3
scifact,hybrid,fixed,10000,10000,178.73100983020552,0.9069446964078732,0.26253548694589374,1.0,0.02,100.0,0.02,0.3
scifact,hybrid,fixed,15000,15000,268.0965147453083,0.9069446964078732,0.26253548694589374,1.0,0.02,100.0,0.02,0.3
scifact,hybrid,fixed,20000,20000,357.46201966041104,0.9069446964078732,0.26253548694589374,1.0,0.02,100.0,0.02,0.3
scifact,hybrid,percentage,0.02,111,2.0,0.7207636922781588,0.07635448281617933,0.98,0.0,29.083490275703312,0.0,0.12
scifact,hybrid,percentage,0.05,279,5.0,0.7800213987256456,0.13561218926366592,1.0,0.02,51.654803257745655,0.02,0.2
scifact,hybrid,percentage,0.1,559,10.0,0.8351715381729471,0.19076232871096746,1.0,0.02,72.66154032360657,0.02,0.2
scifact,hybrid,percentage,0.15,839,15.0,0.8551715381729471,0.21076232871096745,1.0,0.02,80.27955807528745,0.02,0.2
scifact,hybrid,percentage,0.2,1119,20.0,0.8781685998185987,0.23375939035661922,1.0,0.02,89.03915926794117,0.02,0.24
scifact,hybrid,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2500,44.68275245755138,0.8958335704509198,0.2514243609889402,1.0,0.02,95.7677622609383,0.02,0.3
scifact,stratified,fixed,1000,1000,17.873100983020553,0.8650755491038359,0.22066633964185628,1.0,0.02,84.05200462950508,0.02,0.18
scifact,stratified,fixed,2500,2500,44.68275245755138,0.8835706265956107,0.23916141713363107,1.0,0.02,91.09679606205775,0.02,0.26
scifact,stratified,fixed,5000,5000,89.36550491510276,0.8984521655223489,0.2540429560603694,1.0,0.02,96.76518744786888,0.02,0.3
scifact,stratified,fixed,10000,10000,178.73100983020552,0.9069446964078732,0.26253548694589374,1.0,0.02,100.0,0.02,0.3
scifact,stratified,fixed,15000,15000,268.0965147453083,0.9069446964078732,0.26253548694589374,1.0,0.02,100.0,0.02,0.3
