dataset,df_band,candidate_instances_count,unique_terms_count,queries_with_candidates_pct,mean_max_delta_ndcg10_abstain,mean_max_delta_r1000_abstain,pct_queries_helped,pct_instances_ref_weight_useful_exact,pct_instances_ref_weight_ranking_safe_exact,pct_instances_ref_weight_recall_safe_exact,pct_instances_any_weight_useful_screened,pct_instances_any_weight_useful_deployable_exact,pct_instances_ranking_robust_deployable_exact,pct_instances_recall_robust_deployable_exact
scifact,DF=1,97,97,0.68,0.06394209369814913,0.02,0.14,0.18556701030927836,0.18556701030927836,0.030927835051546393,0.18556701030927836,0.0,0.0,0.0
scifact,DF=2-5,192,190,0.88,0.21486370992205628,0.02,0.4,0.203125,0.203125,0.036458333333333336,0.4270833333333333,0.5401459854014599,0.35036496350364965,0.0
scifact,DF=6-20,342,322,0.98,0.25064285663943137,0.02,0.44,0.1783625730994152,0.1783625730994152,0.029239766081871343,0.4327485380116959,0.4517133956386293,0.3333333333333333,0.021806853582554516
scifact,DF>20_rel>1%,3759,1140,1.0,0.21131685599355066,0.02,0.44,0.07023144453312051,0.07023144453312051,0.0297951582867784,0.23250864591646714,0.32097821933511655,0.20137562094000763,0.027130301872372947
scifact,DF>20_rel_0.1-1%,429,353,0.98,0.21346856741570097,0.02,0.44,0.1445221445221445,0.1445221445221445,0.03263403263403263,0.35664335664335667,0.37593984962406013,0.2857142857142857,0.03007518796992481
bright_aops,DF=1,164,70,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bright_aops,DF=2-5,160,65,0.74,0.019487084287256408,0.05988095238095238,0.14,0.0,0.0,0.00625,0.0625,0.10309278350515463,0.020618556701030927,0.05154639175257732
bright_aops,DF=6-20,274,98,0.8,0.03498967757772289,0.06488095238095239,0.22,0.010948905109489052,0.010948905109489052,0.010948905109489052,0.072992700729927,0.08370044052863436,0.030837004405286344,0.030837004405286344
bright_aops,DF>20_rel<0.1%,1066,360,0.98,0.06474652285596806,0.13892857142857143,0.34,0.004690431519699813,0.004690431519699813,0.00375234521575985,0.07035647279549719,0.08620689655172414,0.020689655172413793,0.04482758620689655
bright_aops,DF>20_rel>1%,4145,397,1.0,0.0266328440005122,0.10726190476190477,0.22,0.004342581423401689,0.004342581423401689,0.0,0.0195416164053076,0.02858203414996288,0.010393466963622866,0.006310319227913883
bright_aops,DF>20_rel_0.1-1%,1944,491,1.0,0.051959233466524625,0.14809523809523809,0.3,0.006172839506172839,0.006172839506172839,0.00051440329218107,0.041666666666666664,0.04770318021201413,0.018256772673733806,0.030035335689045935
nfcorpus,DF=1,4749,3275,0.94,0.20168350123567902,0.1515083160482193,0.72,0.17119393556538218,0.17119393556538218,0.775531690882291,0.7148873447041483,0.0,0.0,0.0
nfcorpus,DF=2-5,6714,3479,0.98,0.33875283278717494,0.22908091085410934,0.82,0.18066726243669942,0.18066726243669942,0.7497765862377123,0.52755436401549,0.5549592099613568,0.21554315156719622,0.759553456419064
nfcorpus,DF=6-20,9827,2518,1.0,0.3814077764724733,0.2936515380268503,0.82,0.16332553169838201,0.16332553169838201,0.7487534344153862,0.35728096061870357,0.3653974615898464,0.18169672678690715,0.7348029392117569
nfcorpus,DF>20_rel>1%,27046,1506,1.0,0.26809010420710844,0.44126345970103736,0.78,0.09321156548103232,0.09321156548103232,0.6938179398062561,0.2038748798343563,0.2135706865615261,0.12413825668146189,0.6621021815091133
nfcorpus,DF>20_rel_0.1-1%,5252,701,1.0,0.2448664236867729,0.29688903556018714,0.78,0.10643564356435643,0.10643564356435643,0.7204874333587205,0.2484767707539985,0.24975242622301447,0.12200435729847495,0.6918201624083977
trec_covid,DF=1,5198,3669,1.0,0.07179677668290241,0.003251636394494554,0.86,0.015390534821085032,0.015390534821085032,0.0923432089265102,0.09734513274336283,0.0,0.0,0.0
trec_covid,DF=2-5,8842,5753,1.0,0.142090876450954,0.0060042237724798,0.98,0.014476362813843022,0.014250169644876725,0.09217371635376612,0.1391087989142728,0.34295845997973656,0.05268490374873354,0.16058763931104356
trec_covid,DF=6-20,11783,5892,1.0,0.18156455941733107,0.008974067343776823,0.98,0.017907154374946957,0.017228210133242806,0.0850377662734448,0.17915641177968258,0.24058355437665782,0.02453580901856764,0.10251989389920424
trec_covid,DF>20_rel<0.1%,45578,8642,1.0,0.23015682071653756,0.02339433513300663,0.98,0.017749791566106454,0.015906797138970558,0.08547983676335073,0.16185440344025626,0.18924318924318925,0.015039015039015039,0.07481707481707482
trec_covid,DF>20_rel>1%,59158,1288,1.0,0.2722892965457,0.07109119143549486,0.98,0.07456303458534771,0.05574901112275601,0.17603705331485175,0.2954460935122891,0.3078016636889324,0.03183293950396711,0.08710352909534513
trec_covid,DF>20_rel_0.1-1%,78953,3770,1.0,0.2739428314228386,0.05836312371317018,0.98,0.025901485694020492,0.021886438767367927,0.09729839271465301,0.17648474408825504,0.1847823149474367,0.012917871523930492,0.059846498932518984
fiqa,DF=1,48,48,0.46,0.017543813935274936,0.0,0.1,0.125,0.125,0.0,0.14583333333333334,0.0,0.0,0.0
fiqa,DF=2-5,61,61,0.48,0.1132729579441789,0.03866666666666667,0.32,0.29508196721311475,0.29508196721311475,0.04918032786885246,0.6557377049180327,0.7222222222222222,0.4166666666666667,0.19444444444444445
fiqa,DF=6-20,132,128,0.72,0.1989627516199753,0.052000000000000005,0.6,0.17424242424242425,0.17424242424242425,0.022727272727272728,0.5454545454545454,0.5752212389380531,0.2743362831858407,0.061946902654867256
fiqa,DF>20_rel<0.1%,208,201,0.76,0.17299426877604782,0.11200000000000002,0.62,0.16826923076923078,0.16826923076923078,0.052884615384615384,0.5048076923076923,0.533678756476684,0.30569948186528495,0.10880829015544041
fiqa,DF>20_rel>1%,4733,854,1.0,0.22860784508837806,0.1525,0.72,0.08789351362772026,0.08789351362772026,0.002957954785548278,0.29537291358546375,0.32752781809385584,0.18142235123367198,0.01910982099661345
fiqa,DF>20_rel_0.1-1%,1449,1034,1.0,0.28841589474140533,0.17433333333333334,0.8,0.147688060731539,0.147688060731539,0.01932367149758454,0.4306418219461698,0.4402332361516035,0.25,0.048833819241982504
scidocs,DF=1,297,286,0.98,0.06956652425068316,0.024,0.34,0.1111111111111111,0.1111111111111111,0.1919191919191919,0.1717171717171717,0.0,0.0,0.0
scidocs,DF=2-5,317,306,0.96,0.15504792243658191,0.137,0.7,0.07570977917981073,0.07570977917981073,0.14195583596214512,0.2302839116719243,0.2807017543859649,0.13157894736842105,0.30701754385964913
scidocs,DF=6-20,452,423,0.98,0.18991607121996515,0.17299999999999996,0.78,0.059734513274336286,0.059734513274336286,0.11504424778761062,0.30973451327433627,0.3293269230769231,0.11538461538461539,0.19230769230769232
scidocs,DF>20_rel<0.1%,107,100,0.84,0.07393608023170176,0.103,0.42,0.037383177570093455,0.037383177570093455,0.07476635514018691,0.32710280373831774,0.33980582524271846,0.1262135922330097,0.13592233009708737
scidocs,DF>20_rel>1%,9331,1207,1.0,0.16324717332703964,0.25,0.76,0.03922409173722002,0.03922409173722002,0.03558032365234166,0.14274997320758762,0.16963350785340314,0.09358638743455497,0.07853403141361257
scidocs,DF>20_rel_0.1-1%,2373,1506,1.0,0.20688109526237014,0.21899999999999994,0.84,0.054782975136957436,0.054782975136957436,0.05773282764433207,0.2317741255794353,0.24650743578188372,0.12257773771969356,0.1333934204596665
arguana,DF=1,51,51,0.4,0.006837298545071393,0.0,0.04,0.0392156862745098,0.0392156862745098,0.0,0.0392156862745098,0.0,0.0,0.0
arguana,DF=2-5,57,57,0.6,0.044842451428899824,0.0,0.22,0.03508771929824561,0.03508771929824561,0.0,0.22807017543859648,0.35294117647058826,0.17647058823529413,0.0
arguana,DF=6-20,141,137,0.82,0.07220136443309116,0.0,0.38,0.03546099290780142,0.03546099290780142,0.0,0.2907801418439716,0.2971014492753623,0.09420289855072464,0.0
arguana,DF>20_rel>1%,1574,727,1.0,0.06856036807883349,0.0,0.48,0.025412960609911054,0.025412960609911054,0.0,0.17344345616264295,0.216,0.0848,0.0
arguana,DF>20_rel_0.1-1%,290,267,0.98,0.07586513154433203,0.0,0.48,0.05862068965517241,0.05862068965517241,0.0,0.2689655172413793,0.27208480565371024,0.13074204946996468,0.0
bright_stackoverflow,DF=1,375,375,0.54,0.01274524425623285,0.0,0.1,0.12266666666666666,0.12266666666666666,0.0,0.12266666666666666,0.0,0.0,0.0
bright_stackoverflow,DF=2-5,551,546,0.84,0.04065460586835275,0.03287878787878788,0.3,0.06896551724137931,0.06896551724137931,0.007259528130671506,0.1306715063520871,0.1725,0.1275,0.0175
bright_stackoverflow,DF=6-20,538,511,0.9,0.037677075133108494,0.04252525252525253,0.3,0.06319702602230483,0.06319702602230483,0.0037174721189591076,0.12453531598513011,0.11591355599214145,0.07465618860510806,0.03339882121807466
bright_stackoverflow,DF>20_rel<0.1%,859,725,0.96,0.04867522248311653,0.0402020202020202,0.3,0.05355064027939464,0.05355064027939464,0.005820721769499418,0.1140861466821886,0.11017964071856287,0.07305389221556886,0.015568862275449102
bright_stackoverflow,DF>20_rel>1%,5867,763,1.0,0.02102533145379609,0.029141414141414145,0.2,0.01619226180330663,0.01619226180330663,0.0025566729163115733,0.06903016874041247,0.0737784699240802,0.03971189410161573,0.013431964181428849
