dataset,df_band,candidate_instances_count,unique_terms_count,queries_with_candidates_pct,mean_max_delta_ndcg10_abstain,mean_max_delta_r1000_abstain,pct_queries_helped,pct_instances_ref_weight_useful_exact,pct_instances_ref_weight_ranking_safe_exact,pct_instances_ref_weight_recall_safe_exact,pct_instances_any_weight_useful_screened,pct_instances_any_weight_useful_deployable_exact,pct_instances_ranking_robust_deployable_exact,pct_instances_recall_robust_deployable_exact
fiqa,DF=1,48,48,0.46,0.017543813935274936,0.0,0.1,0.125,0.125,0.0,0.14583333333333334,0.0,0.0,0.0
fiqa,DF=2-5,61,61,0.48,0.1132729579441789,0.03866666666666667,0.32,0.29508196721311475,0.29508196721311475,0.04918032786885246,0.6557377049180327,0.7222222222222222,0.4166666666666667,0.19444444444444445
fiqa,DF=6-20,132,128,0.72,0.1989627516199753,0.052000000000000005,0.6,0.17424242424242425,0.17424242424242425,0.022727272727272728,0.5454545454545454,0.5752212389380531,0.2743362831858407,0.061946902654867256
fiqa,DF>20_rel<0.1%,208,201,0.76,0.17299426877604782,0.11200000000000002,0.62,0.16826923076923078,0.16826923076923078,0.052884615384615384,0.5048076923076923,0.533678756476684,0.30569948186528495,0.10880829015544041
fiqa,DF>20_rel>1%,4733,854,1.0,0.22860784508837806,0.1525,0.72,0.08789351362772026,0.08789351362772026,0.002957954785548278,0.29537291358546375,0.32752781809385584,0.18142235123367198,0.01910982099661345
fiqa,DF>20_rel_0.1-1%,1449,1034,1.0,0.28841589474140533,0.17433333333333334,0.8,0.147688060731539,0.147688060731539,0.01932367149758454,0.4306418219461698,0.4402332361516035,0.25,0.048833819241982504
scidocs,DF=1,297,286,0.98,0.06956652425068316,0.024,0.34,0.1111111111111111,0.1111111111111111,0.1919191919191919,0.1717171717171717,0.0,0.0,0.0
scidocs,DF=2-5,317,306,0.96,0.15504792243658191,0.137,0.7,0.07570977917981073,0.07570977917981073,0.14195583596214512,0.2302839116719243,0.2807017543859649,0.13157894736842105,0.30701754385964913
scidocs,DF=6-20,452,423,0.98,0.18991607121996515,0.17299999999999996,0.78,0.059734513274336286,0.059734513274336286,0.11504424778761062,0.30973451327433627,0.3293269230769231,0.11538461538461539,0.19230769230769232
scidocs,DF>20_rel<0.1%,107,100,0.84,0.07393608023170176,0.103,0.42,0.037383177570093455,0.037383177570093455,0.07476635514018691,0.32710280373831774,0.33980582524271846,0.1262135922330097,0.13592233009708737
scidocs,DF>20_rel>1%,9331,1207,1.0,0.16324717332703964,0.25,0.76,0.03922409173722002,0.03922409173722002,0.03558032365234166,0.14274997320758762,0.16963350785340314,0.09358638743455497,0.07853403141361257
scidocs,DF>20_rel_0.1-1%,2373,1506,1.0,0.20688109526237014,0.21899999999999994,0.84,0.054782975136957436,0.054782975136957436,0.05773282764433207,0.2317741255794353,0.24650743578188372,0.12257773771969356,0.1333934204596665
arguana,DF=1,51,51,0.4,0.006837298545071393,0.0,0.04,0.0392156862745098,0.0392156862745098,0.0,0.0392156862745098,0.0,0.0,0.0
arguana,DF=2-5,57,57,0.6,0.044842451428899824,0.0,0.22,0.03508771929824561,0.03508771929824561,0.0,0.22807017543859648,0.35294117647058826,0.17647058823529413,0.0
arguana,DF=6-20,141,137,0.82,0.07220136443309116,0.0,0.38,0.03546099290780142,0.03546099290780142,0.0,0.2907801418439716,0.2971014492753623,0.09420289855072464,0.0
arguana,DF>20_rel>1%,1574,727,1.0,0.06856036807883349,0.0,0.48,0.025412960609911054,0.025412960609911054,0.0,0.17344345616264295,0.216,0.0848,0.0
arguana,DF>20_rel_0.1-1%,290,267,0.98,0.07586513154433203,0.0,0.48,0.05862068965517241,0.05862068965517241,0.0,0.2689655172413793,0.27208480565371024,0.13074204946996468,0.0
bright_stackoverflow,DF=1,375,375,0.54,0.01274524425623285,0.0,0.1,0.12266666666666666,0.12266666666666666,0.0,0.12266666666666666,0.0,0.0,0.0
bright_stackoverflow,DF=2-5,551,546,0.84,0.04065460586835275,0.03287878787878788,0.3,0.06896551724137931,0.06896551724137931,0.007259528130671506,0.1306715063520871,0.1725,0.1275,0.0175
bright_stackoverflow,DF=6-20,538,511,0.9,0.037677075133108494,0.04252525252525253,0.3,0.06319702602230483,0.06319702602230483,0.0037174721189591076,0.12453531598513011,0.11591355599214145,0.07465618860510806,0.03339882121807466
bright_stackoverflow,DF>20_rel<0.1%,859,725,0.96,0.04867522248311653,0.0402020202020202,0.3,0.05355064027939464,0.05355064027939464,0.005820721769499418,0.1140861466821886,0.11017964071856287,0.07305389221556886,0.015568862275449102
bright_stackoverflow,DF>20_rel>1%,5867,763,1.0,0.02102533145379609,0.029141414141414145,0.2,0.01619226180330663,0.01619226180330663,0.0025566729163115733,0.06903016874041247,0.0737784699240802,0.03971189410161573,0.013431964181428849
bright_stackoverflow,DF>20_rel_0.1-1%,2967,1228,1.0,0.050231706711283,0.03838383838383838,0.26,0.033367037411526794,0.033367037411526794,0.00741489720256151,0.08223795079204584,0.08267433501078361,0.06290438533429188,0.015456506110711718
