dataset,policy,capacity_type,requested_capacity,effective_capacity_terms,actual_pct_eligible_vocab,oracle_ndcg10,delta_ndcg10,oracle_r1000,delta_r1000,pct_retained_vs_eligible,recall_safe_query_rate,ranking_safe_query_rate
fiqa,salience,fixed,1000,1000,5.320280910832092,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.4
fiqa,salience,fixed,2500,2500,13.300702277080228,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.8
fiqa,salience,fixed,5000,5000,26.601404554160457,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.8
fiqa,salience,fixed,10000,10000,53.20280910832091,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.8
fiqa,salience,fixed,15000,15000,79.80421366248139,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.8
fiqa,salience,fixed,20000,20000,106.40561821664183,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.8
fiqa,salience,percentage,0.02,375,2.0,0.6854010261264916,0.2067676099943594,1.0,0.06666666666666668,82.04201565205807,0.0,0.2
fiqa,salience,percentage,0.05,939,5.0,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.4
fiqa,salience,percentage,0.1,1879,10.0,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.6
fiqa,salience,percentage,0.15,2819,15.0,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.8
fiqa,salience,percentage,0.2,3759,20.0,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.8
fiqa,salience,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2819,14.997871887635666,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.8
fiqa,specificity,fixed,1000,1000,5.320280910832092,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.4
fiqa,specificity,fixed,2500,2500,13.300702277080228,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.8
fiqa,specificity,fixed,5000,5000,26.601404554160457,0.7306599032326749,0.25202648710054276,1.0,0.06666666666666668,100.0,0.0,0.8
