dataset,df_band,candidate_instances_count,unique_terms_count,queries_with_candidates_pct,mean_max_delta_ndcg10_abstain,mean_max_delta_r1000_abstain,pct_queries_helped,pct_instances_ref_weight_useful_exact,pct_instances_ref_weight_ranking_safe_exact,pct_instances_ref_weight_recall_safe_exact,pct_instances_any_weight_useful_screened,pct_instances_any_weight_useful_deployable_exact,pct_instances_ranking_robust_deployable_exact,pct_instances_recall_robust_deployable_exact
fiqa,DF=1,2,2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fiqa,DF=2-5,4,4,0.4,0.05805473841275397,0.03333333333333335,0.2,0.25,0.25,0.0,0.75,1.0,0.5,0.5
fiqa,DF=6-20,11,11,0.6,0.15551922358361028,0.0,0.6,0.09090909090909091,0.09090909090909091,0.0,0.5454545454545454,0.5454545454545454,0.18181818181818182,0.0
fiqa,DF>20_rel<0.1%,15,15,0.6,0.18025565947340663,0.03333333333333335,0.6,0.06666666666666667,0.06666666666666667,0.0,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.06666666666666667
fiqa,DF>20_rel>1%,499,364,1.0,0.2318529928672885,0.03333333333333335,0.8,0.01603206412825651,0.01603206412825651,0.0,0.28857715430861725,0.33568075117370894,0.19953051643192488,0.0
fiqa,DF>20_rel_0.1-1%,159,156,1.0,0.25202648710054276,0.06666666666666668,0.8,0.0880503144654088,0.0880503144654088,0.0,0.4339622641509434,0.4594594594594595,0.23648648648648649,0.013513513513513514
scidocs,DF=1,55,55,1.0,0.15585065470477755,0.07999999999999999,0.6,0.2545454545454545,0.2545454545454545,0.36363636363636365,0.41818181818181815,0.0,0.0,0.0
scidocs,DF=2-5,40,40,1.0,0.27779111536566453,0.15999999999999998,1.0,0.15,0.15,0.325,0.375,0.4482758620689655,0.27586206896551724,0.41379310344827586
scidocs,DF=6-20,66,66,1.0,0.28667234778520834,0.19999999999999996,1.0,0.09090909090909091,0.09090909090909091,0.30303030303030304,0.3181818181818182,0.3225806451612903,0.1774193548387097,0.3225806451612903
scidocs,DF>20_rel<0.1%,9,9,0.8,0.04279725294690551,0.15999999999999998,0.2,0.0,0.0,0.1111111111111111,0.1111111111111111,0.125,0.0,0.125
scidocs,DF>20_rel>1%,989,613,1.0,0.29151473681422396,0.31999999999999995,1.0,0.025278058645096056,0.025278058645096056,0.16076845298281092,0.1789686552072801,0.21568627450980393,0.12254901960784313,0.1948529411764706
scidocs,DF>20_rel_0.1-1%,317,302,1.0,0.3129133632876767,0.23999999999999994,1.0,0.050473186119873815,0.050473186119873815,0.21451104100946372,0.22712933753943218,0.23905723905723905,0.19865319865319866,0.21548821548821548
arguana,DF=1,5,5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arguana,DF=2-5,4,4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arguana,DF=6-20,13,13,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arguana,DF>20_rel>1%,165,146,1.0,0.08510612580692582,0.0,0.4,0.0,0.0,0.0,0.07878787878787878,0.09923664122137404,0.07633587786259542,0.0
arguana,DF>20_rel_0.1-1%,24,24,1.0,0.08510612580692582,0.0,0.4,0.041666666666666664,0.041666666666666664,0.0,0.125,0.13636363636363635,0.045454545454545456,0.0
bright_stackoverflow,DF=1,9,9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bright_stackoverflow,DF=2-5,45,45,1.0,0.0,0.06666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bright_stackoverflow,DF=6-20,29,29,1.0,0.0,0.11666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bright_stackoverflow,DF>20_rel<0.1%,106,104,1.0,0.07991448451690739,0.11666666666666667,0.4,0.0,0.0,0.0,0.0660377358490566,0.06930693069306931,0.0,0.0
bright_stackoverflow,DF>20_rel>1%,646,401,1.0,0.0,0.06666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bright_stackoverflow,DF>20_rel_0.1-1%,345,308,1.0,0.051098952266633045,0.11666666666666667,0.4,0.0,0.0,0.0,0.008695652173913044,0.008955223880597015,0.0,0.0
