dataset,pipeline,ndcg_10,exp_ndcg_10,ndcg_100,map_100,mrr_10,p_10,p_100,strict_10,recall_10,recall_50,recall_100,recall_200,recall_500,recall_1000,completeness_100,completeness_500,completeness_1000,strict_100,strict_1000,oracle_ndcg_10,retrieval_api_p50_ms,retrieval_api_p90_ms,retrieval_api_p99_ms,retrieval_api_mean_ms,batch_throughput_qps,harness_per_query_ms,num_docs,num_queries,index_disk_mb,host_ram_peak_mb,index_build_s,cache_load_s,ndcg_50,strict_50
scifact,BM25_Default,0.6839,0.6839,0.7062,0.6376,0.6441,0.0917,0.0105,0.8433,0.8263,0.9036,0.926,0.95,0.97,0.9767,0.92,0.97,0.9767,0.93,0.9767,0.9767,21.88,24.01,28.39,21.54,44.1,62.48,5183,300,25.53,980.95,0.0,0.1,0.7024,0.91
scifact,BM25_RM3_Terrier_Default,0.6731,0.6731,0.6979,0.6313,0.6333,0.0897,0.0104,0.8167,0.8057,0.894,0.922,0.9443,0.9633,0.985,0.92,0.96,0.9833,0.9233,0.9867,0.9854,30.27,32.34,33.84,30.61,39.47,77.21,5183,300,25.53,995.97,0.0,0.1,0.6932,0.8967
scifact,BM25_Bo1_Terrier_Default,0.6351,0.6351,0.6571,0.571,0.5778,0.092,0.0105,0.8533,0.8355,0.9147,0.9293,0.9533,0.965,0.98,0.9233,0.9633,0.98,0.9333,0.98,0.98,29.1,31.46,33.29,29.42,43.15,72.75,5183,300,25.53,1014.09,0.0,0.1,0.6545,0.92
scifact,DPH,0.6716,0.6716,0.6968,0.6299,0.6349,0.0883,0.0104,0.82,0.804,0.8846,0.9159,0.9383,0.9667,0.9733,0.9067,0.9667,0.9733,0.92,0.9733,0.9733,21.79,23.97,26.35,21.39,51.21,59.01,5183,300,25.53,1028.41,0.0,0.1,0.6913,0.8933
nfcorpus,BM25_Default,0.3282,0.3295,0.2765,0.1463,0.5321,0.2393,0.0661,0.6997,0.1532,0.2182,0.2483,0.2809,0.3305,0.365,0.0557,0.065,0.0743,0.7895,0.8235,0.647,6.51,22.27,24.69,9.85,90.15,28.25,3633,323,18.6,827.59,0.0,0.09,0.2786,0.7616
nfcorpus,BM25_RM3_Terrier_Default,0.3504,0.3517,0.3154,0.1684,0.5359,0.2591,0.0792,0.7059,0.1743,0.2646,0.3114,0.378,0.4672,0.55,0.0774,0.1115,0.1269,0.8173,0.904,0.8052,29.71,32.16,34.28,27.26,45.44,67.0,3633,323,18.6,1016.62,0.0,0.09,0.3102,0.7833
nfcorpus,BM25_Bo1_Terrier_Default,0.3377,0.3385,0.3083,0.1638,0.5122,0.2548,0.0798,0.6842,0.1651,0.2648,0.3095,0.3689,0.4617,0.5514,0.0867,0.1269,0.1455,0.8111,0.9009,0.7996,28.79,31.18,32.29,25.61,52.13,61.42,3633,323,18.6,1054.41,0.0,0.09,0.3044,0.7864
nfcorpus,DPH,0.3221,0.3238,0.2729,0.1435,0.5254,0.2325,0.0646,0.6904,0.15,0.2164,0.2449,0.2785,0.3323,0.3671,0.0557,0.0681,0.0743,0.7926,0.8266,0.6503,6.55,22.27,24.67,9.81,126.73,24.85,3633,323,18.6,1030.44,0.0,0.09,0.2754,0.7616
fiqa,BM25_Default,0.2526,0.2526,0.3175,0.2087,0.3104,0.0704,0.0133,0.4907,0.3097,0.4855,0.5592,0.6269,0.7114,0.7742,0.3735,0.5309,0.6049,0.7438,0.9043,0.8085,24.15,26.24,28.08,24.4,41.2,66.79,57638,648,83.96,1008.04,0.0,0.1,0.3016,0.6898
fiqa,BM25_RM3_Terrier_Default,0.2432,0.2432,0.3055,0.2031,0.2924,0.0665,0.013,0.463,0.2986,0.4606,0.5377,0.6191,0.7131,0.7803,0.3673,0.5525,0.6219,0.7114,0.9043,0.8127,33.69,36.41,39.61,33.98,35.83,80.94,57638,648,83.96,1041.79,0.0,0.1,0.2888,0.6481
fiqa,BM25_Bo1_Terrier_Default,0.2343,0.2343,0.3012,0.188,0.276,0.0698,0.0134,0.4815,0.3089,0.4891,0.5674,0.6509,0.7295,0.7952,0.3935,0.5571,0.6358,0.75,0.912,0.8262,32.9,35.57,38.19,33.23,38.15,78.29,57638,648,83.96,1050.66,0.0,0.1,0.2846,0.6836
