dataset,schema_type,label,display_name,params,role,Avg_Anchors,Avg_Cands_Tau,Avg_Synonyms,Starvation_Rate_pct,Avg_Qaug_Len,Avg_R_Anchor,Avg_Latency_ms,Strict@10,Strict@20,Strict@30,Strict@50,ChunkRec@10,ChunkRec@20,ChunkRec@30,ChunkRec@50,ChunkPrec@10,ChunkPrec@20,ChunkPrec@30,ChunkPrec@50,MRR@10,MRR@50,trace_file
fused_stress_500,v1,v1_baseline,"Schema 1 Baseline (3,3,3,-1)","(3, 3, 3, -1)","Primary Baseline Reference (R=3, C_exp=2)",6.8,340.69,13.59,0.1,38.9,3.0,141.21,79.8,91.6,94.6,96.2,66.6,82.6,88.1,91.3,11.6,7.5,5.4,3.4,0.4563,0.4662,trace_fused_stress_500_v1_baseline.json
fused_stress_500,v5a,v5a_n3_r2-5_c-1,"Schema 5a (3, 2, 5, -1)","(3, 2, 5, -1)","Fixed 3x Anchors, Dynamic Synonyms (1-4)",6.8,340.69,20.99,0.2,47.8,3.0,169.37,71.4,89.7,93.4,95.5,57.8,78.7,85.8,90.3,10.0,7.1,5.2,3.3,0.3907,0.4054,trace_fused_stress_500_v5a_n3_r2-5_c-1.json
fused_stress_500,v5a,v5a_n3_r2-5_c0,"Schema 5a (3, 2, 5, 0)","(3, 2, 5, 0)","Fixed 3x Anchors, Dynamic Synonyms (2-5)",6.8,340.69,27.77,0.2,55.5,3.0,192.25,65.2,86.2,92.7,95.0,52.3,74.8,84.4,89.8,9.0,6.7,5.1,3.3,0.3505,0.3682,trace_fused_stress_500_v5a_n3_r2-5_c0.json
fused_stress_500,v5a,v5a_n4_r2-5_c-1,"Schema 5a (4, 2, 5, -1)","(4, 2, 5, -1)","Heavy Fixed 4x Anchors, Dynamic Synonyms (1-4)",6.8,340.69,20.99,0.2,54.6,4.0,181.25,82.6,92.1,94.0,96.0,68.7,82.9,87.3,91.2,12.0,7.5,5.3,3.4,0.508,0.5161,trace_fused_stress_500_v5a_n4_r2-5_c-1.json
fused_stress_500,v5b,v5b_r2-4_c-1,"Schema 5b (-, 2, 4, -1)","(-, 2, 4, -1)","LiveRAG Champion (R in [2, 4], C_exp in [1, 3])",6.8,340.69,16.38,0.2,45.2,3.43,156.67,81.7,92.0,94.0,95.6,68.5,82.9,87.9,91.0,12.0,7.5,5.4,3.4,0.4945,0.503,trace_fused_stress_500_v5b_r2-4_c-1.json
fused_stress_500,v5b,v5b_r3-5_c-1,"Schema 5b (-, 3, 5, -1)","(-, 3, 5, -1)","Safe High-Floor (R in [3, 5], C_exp in [2, 4])",6.8,340.69,23.17,0.2,60.0,4.43,194.69,84.5,92.3,94.2,95.8,70.9,83.0,87.6,91.1,12.4,7.5,5.4,3.4,0.5283,0.5349,trace_fused_stress_500_v5b_r3-5_c-1.json
fused_stress_500,v5b,v5b_r4-5_c-1,"Schema 5b (-, 4, 5, -1)","(-, 4, 5, -1)","Heavy Entity Booster (R in [4, 5], C_exp in [3, 4])",6.8,340.69,25.41,0.2,64.8,4.76,207.23,84.9,92.5,94.4,95.8,71.5,83.5,87.7,91.1,12.5,7.6,5.4,3.4,0.5373,0.5438,trace_fused_stress_500_v5b_r4-5_c-1.json
fused_stress_500,v5b,v5b_r2-5_c-1,"Schema 5b (-, 2, 5, -1)","(-, 2, 5, -1)","Full Dynamic Contrast (R in [2, 5], C_exp in [1, 4])",6.8,340.69,20.99,0.2,55.2,4.12,182.33,84.5,92.1,94.1,95.8,71.0,83.1,87.7,90.9,12.4,7.5,5.4,3.4,0.5343,0.541,trace_fused_stress_500_v5b_r2-5_c-1.json
enterpriserag_stress_1000,v1,v1_baseline,"Schema 1 Baseline (3,3,3,-1)","(3, 3, 3, -1)","Primary Baseline Reference (R=3, C_exp=2)",11.73,339.0,23.46,0.0,61.6,3.0,64.71,82.0,85.6,87.6,89.8,58.3,67.3,71.4,75.7,15.7,10.2,7.6,5.0,0.5549,0.5589,trace_enterpriserag_stress_1000_v1_baseline.json
enterpriserag_stress_1000,v5a,v5a_n3_r2-5_c-1,"Schema 5a (3, 2, 5, -1)","(3, 2, 5, -1)","Fixed 3x Anchors, Dynamic Synonyms (1-4)",11.73,339.0,35.3,0.0,74.1,3.0,70.58,80.0,85.0,87.4,90.2,56.7,66.2,70.2,75.6,15.1,10.1,7.5,5.0,0.5143,0.5197,trace_enterpriserag_stress_1000_v5a_n3_r2-5_c-1.json
