config_id,strategy,pool_size,dataset,num_queries,strict_10,doc_rec_10,strict_50,doc_rec_50,mrr_10,tti_total_sec,tti_bm25_sec,tti_vocab_sec,tti_matrix_sec,lat_total_mean_ms,lat_total_p50_ms,lat_total_p95_ms,lat_anchor_analyze_ms,lat_anchor_pos_ms,lat_anchor_bge_ms,lat_anchor_total_ms,lat_probing_ms,lat_itmpe_ms,lat_bm25_ms,in_pool_hit_rate_pct,avg_anchors,avg_synonym_links,avg_unique_synonyms,avg_final_qvec_len
coverage__N_500,coverage,500,enterpriserag_doc_level,500,93.62,91.83,98.94,98.32,0.8695,5.08,2.52,0.03,2.54,6.53,6.4,8.3,0.061,0.556,2.942,3.559,0.12,0.4,2.4,42.75,21.91,2811.01,444.75,466.6
coverage__N_500,coverage,500,liverag_doc_level,895,97.65,97.21,98.88,98.72,0.9381,3.63,1.89,0.03,1.71,3.94,3.98,5.34,0.035,0.306,1.93,2.271,0.11,0.22,1.29,56.69,11.31,597.18,231.92,243.21
coverage__N_500,coverage,500,beir_scifact_doc_level,300,80.67,78.96,87.0,86.42,0.6263,3.51,2.07,0.03,1.42,3.7,3.78,5.04,0.033,0.285,1.315,1.633,0.11,0.22,1.69,76.58,9.13,801.89,306.38,315.48
coverage__N_500,coverage,500,beir_nfcorpus_doc_level,323,69.04,14.07,77.4,21.0,0.5191,2.51,1.37,0.02,1.12,1.84,1.56,3.51,0.015,0.108,0.527,0.649,0.15,0.13,0.86,83.35,2.76,245.23,157.87,160.61
coverage__N_500,coverage,500,beir_fiqa_doc_level,648,46.76,29.91,66.98,47.3,0.2957,14.7,12.02,0.07,2.62,3.19,3.31,4.56,0.027,0.203,1.21,1.44,0.11,0.18,1.42,77.39,7.7,244.85,131.01,138.71
coverage__N_500,coverage,500,multihop_rag_doc_level,2556,99.33,85.01,99.78,97.9,0.8134,3.0,1.78,0.02,1.2,6.41,6.33,7.94,0.081,0.76,3.13,3.971,0.12,0.4,1.86,51.74,27.61,1612.22,345.29,372.84
coverage__N_500,coverage,500,financebench_doc_level,150,54.0,51.78,74.0,70.67,0.3335,1.61,0.99,0.01,0.61,5.3,5.14,7.15,0.051,0.45,2.159,2.66,0.11,0.33,2.14,58.01,16.58,2101.15,400.17,416.63
coverage__N_500,coverage,500,bright_economics_doc_level,103,23.3,12.55,46.6,25.45,0.1166,8.16,4.96,0.07,3.13,6.19,5.61,10.13,0.187,1.71,1.164,3.061,0.12,0.62,2.31,96.41,55.19,1559.81,274.47,329.66
coverage__N_500,coverage,500,bright_stackoverflow_doc_level,117,39.32,21.2,51.28,36.39,0.1972,26.96,22.37,0.13,4.46,11.1,10.3,17.52,0.259,2.97,2.749,5.977,0.12,0.79,4.11,83.36,67.49,3942.91,387.45,454.91
coverage__N_500,coverage,500,bright_robotics_doc_level,101,21.78,12.1,46.53,27.45,0.0963,6.81,3.65,0.09,3.08,11.65,8.39,32.02,0.363,4.43,2.471,7.265,0.13,0.97,3.17,91.32,86.98,5479.2,406.06,493.0
coverage__N_1000,coverage,1000,enterpriserag_doc_level,500,93.83,92.05,98.72,98.11,0.8705,3.81,2.35,0.03,1.44,9.3,9.17,11.38,0.061,0.579,3.027,3.667,0.12,0.75,4.7,42.75,21.91,6877.5,922.62,944.37
coverage__N_1000,coverage,1000,liverag_doc_level,895,97.65,97.21,98.88,98.72,0.9373,3.65,1.89,0.03,1.73,5.58,5.67,7.3,0.035,0.301,1.995,2.331,0.11,0.38,2.71,56.69,11.31,1494.47,531.48,542.76
coverage__N_1000,coverage,1000,beir_scifact_doc_level,300,81.0,79.29,87.0,86.42,0.6267,3.47,2.05,0.03,1.4,5.51,5.63,7.09,0.032,0.271,1.313,1.616,0.11,0.37,3.37,76.58,9.13,1970.25,682.49,691.54
coverage__N_1000,coverage,1000,beir_nfcorpus_doc_level,323,69.35,14.04,77.4,21.22,0.5225,2.52,1.34,0.02,1.16,2.9,2.76,5.34,0.015,0.11,0.555,0.68,0.1,0.19,1.88,83.35,2.76,616.15,375.83,378.54
coverage__N_1000,coverage,1000,beir_fiqa_doc_level,648,46.76,29.91,66.98,47.3,0.2957,14.52,11.78,0.07,2.67,4.43,4.51,6.15,0.027,0.195,1.263,1.485,0.1,0.28,2.5,77.39,7.7,741.87,355.35,363.05
