stage,config_id,dataset,category,model_family,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_anchors,avg_synonyms,starved_aspects_mean
stage3,budget_eta_-0.5__mu_0.50,enterpriserag_doc_level,Edge-RAG,v7,Budget eta=-0.5 (mu=0.50),"eta=-0.5, mu_ceil=0.50",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.47,96.14,97.23,97.61,13.62,7.23,4.91,2.98,0.8301,70.37,72.7,103.41,0.0,0.0,21.91,21740.78,0.0
stage3,budget_eta_+0.0__mu_0.50,enterpriserag_doc_level,Edge-RAG,v7,Budget eta=+0.0 (mu=0.50),"eta=0.0, mu_ceil=0.50",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.47,96.14,97.23,97.61,13.62,7.23,4.91,2.98,0.8304,70.01,72.85,103.57,0.0,0.0,21.91,21740.78,0.0
stage3,budget_eta_+0.5__mu_0.50,enterpriserag_doc_level,Edge-RAG,v7,Budget eta=+0.5 (mu=0.50),"eta=0.5, mu_ceil=0.50",500,94.47,97.66,98.3,98.3,89.36,94.68,95.96,96.6,92.51,96.35,97.23,97.61,13.64,7.24,4.91,2.98,0.8304,69.44,72.52,103.81,0.0,0.0,21.91,21740.78,0.0
stage3,budget_mu_0.25__eta_0.0,enterpriserag_doc_level,Edge-RAG,v7,Budget mu_ceil=0.25,"mu_ceil=0.25, eta=0.0",500,94.47,97.66,98.3,98.3,89.36,94.68,95.96,96.6,92.51,96.35,97.23,97.61,13.64,7.24,4.91,2.98,0.8304,70.01,72.19,104.31,0.0,0.0,21.91,21740.78,0.0
stage3,budget_mu_0.50__eta_0.0,enterpriserag_doc_level,Edge-RAG,v7,Budget mu_ceil=0.50,"mu_ceil=0.5, eta=0.0",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.47,96.14,97.23,97.61,13.62,7.23,4.91,2.98,0.8304,70.16,73.71,104.87,0.0,0.0,21.91,21740.78,0.0
stage3,budget_mu_0.75__eta_0.0,enterpriserag_doc_level,Edge-RAG,v7,Budget mu_ceil=0.75,"mu_ceil=0.75, eta=0.0",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.47,96.14,97.23,97.61,13.62,7.23,4.91,2.98,0.8301,70.88,73.52,106.17,0.0,0.0,21.91,21740.78,0.0
stage3,budget_mu_1.00__eta_0.0,enterpriserag_doc_level,Edge-RAG,v7,Budget mu_ceil=1.00,"mu_ceil=1.0, eta=0.0",500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.47,96.14,97.21,97.61,13.62,7.23,4.9,2.98,0.8302,70.86,73.43,104.41,0.0,0.0,21.91,21740.78,0.0
stage3,sparsity_eps_0.000,enterpriserag_doc_level,Edge-RAG,v7,Mass Floor eps=0.000,mass_floor=0.0,500,94.47,97.45,98.3,98.3,89.36,94.47,95.96,96.6,92.47,96.14,97.23,97.61,13.62,7.23,4.91,2.98,0.8304,70.21,73.07,105.7,0.0,0.0,21.91,21740.78,0.0
stage3,sparsity_eps_0.001,enterpriserag_doc_level,Edge-RAG,v7,Mass Floor eps=0.001,mass_floor=0.001,500,94.47,97.66,98.3,98.51,89.36,94.68,95.96,96.81,92.51,96.35,97.23,97.85,13.64,7.24,4.91,2.99,0.8301,36.52,37.39,51.34,0.0,0.0,21.91,140.37,0.0
stage3,sparsity_eps_0.005,enterpriserag_doc_level,Edge-RAG,v7,Mass Floor eps=0.005,mass_floor=0.005,500,94.26,97.66,98.3,98.51,89.15,94.68,95.96,96.81,92.3,96.35,97.23,97.85,13.62,7.24,4.91,2.99,0.8299,35.38,36.44,50.25,0.0,0.0,21.91,0.11,0.0
