config_id,bailout_enabled,bailout_tau_sim,bailout_tau_idf,dataset,num_queries,strict_10,doc_rec_10,strict_50,doc_rec_50,mrr_10,avg_bailed_cands_generated,avg_bailed_stems_in_qvec,avg_final_qvec_len,avg_anchors,in_pool_hit_rate_pct,lat_total_mean_ms,lat_total_p50_ms,lat_total_p95_ms,lat_anchor_total_ms,lat_bailout_ms,lat_probing_ms,lat_itmpe_ms,lat_bm25_ms,tti_total_sec,tti_bm25_sec,tti_vocab_sec,tti_matrix_sec
baseline_no_bailout,False,0.85,999.0,enterpriserag_doc_level,500,93.62,91.8,98.72,98.11,0.864,0.0,0.128,1015.18,21.91,42.75,9.67,9.55,11.49,3.699,0.035,0.12,0.73,5.05,5.05,2.44,0.03,2.58
bailout__sim_0.65__idf_0.0,True,0.65,0.0,enterpriserag_doc_level,500,93.4,91.56,98.72,98.08,0.8645,24235.615,12609.291,13624.34,21.91,42.75,1605.8,1494.14,2753.36,12.51,1527.841,0.9,6.3,56.03,5.05,2.44,0.03,2.58
bailout__sim_0.70__idf_0.0,True,0.7,0.0,enterpriserag_doc_level,500,93.4,91.54,98.72,98.08,0.8637,3858.804,3196.274,4211.33,21.91,42.75,255.77,226.86,475.41,8.908,223.024,0.53,1.4,21.64,5.05,2.44,0.03,2.58
bailout__sim_0.75__idf_0.0,True,0.75,0.0,enterpriserag_doc_level,500,94.04,92.2,98.72,98.08,0.8635,1084.853,1027.349,2042.4,21.91,42.75,63.97,55.45,129.05,3.993,48.541,0.13,0.89,10.33,5.05,2.44,0.03,2.58
bailout__sim_0.80__idf_0.0,True,0.8,0.0,enterpriserag_doc_level,500,93.62,91.83,98.72,98.07,0.863,426.336,409.666,1424.72,21.91,42.75,33.27,29.31,59.66,3.917,21.303,0.11,0.78,7.1,5.05,2.44,0.03,2.58
bailout__sim_0.85__idf_0.0,True,0.85,0.0,enterpriserag_doc_level,500,94.04,92.23,98.72,98.0,0.867,118.772,113.204,1128.26,21.91,42.75,19.44,17.69,27.43,3.898,9.086,0.1,0.73,5.59,5.05,2.44,0.03,2.58
bailout__sim_0.65__idf_2.0,True,0.65,2.0,enterpriserag_doc_level,500,93.4,91.59,98.72,98.11,0.8647,8594.5,6408.84,7423.89,21.91,42.75,595.88,547.5,1281.95,12.105,542.157,0.81,2.55,37.55,5.05,2.44,0.03,2.58
bailout__sim_0.70__idf_2.0,True,0.7,2.0,enterpriserag_doc_level,500,93.4,91.56,98.72,98.11,0.8652,1390.666,1275.879,2290.93,21.91,42.75,82.76,67.66,202.12,4.384,65.374,0.17,0.95,11.77,5.05,2.44,0.03,2.58
bailout__sim_0.75__idf_2.0,True,0.75,2.0,enterpriserag_doc_level,500,94.04,92.22,98.72,98.08,0.8649,381.128,359.862,1374.91,21.91,42.75,29.15,22.09,82.62,3.877,17.487,0.12,0.76,6.85,5.05,2.44,0.03,2.58
bailout__sim_0.80__idf_2.0,True,0.8,2.0,enterpriserag_doc_level,500,93.62,91.85,98.72,98.11,0.8612,139.619,127.734,1142.79,21.91,42.75,18.27,14.86,37.13,3.908,7.756,0.11,0.74,5.72,5.05,2.44,0.03,2.58
bailout__sim_0.85__idf_2.0,True,0.85,2.0,enterpriserag_doc_level,500,94.26,92.41,98.51,97.9,0.8699,44.862,39.485,1054.54,21.91,42.75,13.75,12.45,18.37,3.847,3.807,0.1,0.72,5.25,5.05,2.44,0.03,2.58
bailout__sim_0.65__idf_3.0,True,0.65,3.0,enterpriserag_doc_level,500,93.62,91.8,98.72,98.11,0.8643,3303.517,2890.204,3905.26,21.91,42.75,217.26,177.8,548.97,8.689,186.414,0.53,1.33,20.04,5.05,2.44,0.03,2.58
bailout__sim_0.70__idf_3.0,True,0.7,3.0,enterpriserag_doc_level,500,93.62,91.77,98.72,98.11,0.8642,550.813,513.732,1528.78,21.91,42.75,37.58,30.39,91.1,3.975,24.915,0.14,0.8,7.69,5.05,2.44,0.03,2.58
bailout__sim_0.75__idf_3.0,True,0.75,3.0,enterpriserag_doc_level,500,94.04,92.22,98.72,98.11,0.8645,151.623,135.655,1150.71,21.91,42.75,17.69,14.11,33.84,3.831,7.266,0.12,0.73,5.7,5.05,2.44,0.03,2.58
bailout__sim_0.80__idf_3.0,True,0.8,3.0,enterpriserag_doc_level,500,93.83,92.06,98.72,98.14,0.8612,60.609,49.664,1064.71,21.91,42.75,13.41,11.52,18.56,3.791,3.514,0.11,0.72,5.25,5.05,2.44,0.03,2.58
bailout__sim_0.85__idf_3.0,True,0.85,3.0,enterpriserag_doc_level,500,93.83,91.99,98.72,98.11,0.8657,25.764,20.53,1035.58,21.91,42.75,11.83,10.68,13.85,3.781,2.105,0.11,0.72,5.09,5.05,2.44,0.03,2.58
bailout__sim_0.65__idf_4.0,True,0.65,4.0,enterpriserag_doc_level,500,93.62,91.8,98.72,98.11,0.8643,2247.866,2022.881,3037.93,21.91,42.75,146.21,113.35,416.26,7.066,121.981,0.38,1.12,15.48,5.05,2.44,0.03,2.58
bailout__sim_0.70__idf_4.0,True,0.7,4.0,enterpriserag_doc_level,500,93.62,91.8,98.72,98.11,0.8642,381.9,357.289,1372.34,21.91,42.75,29.06,21.97,74.03,3.899,17.325,0.14,0.77,6.87,5.05,2.44,0.03,2.58
bailout__sim_0.75__idf_4.0,True,0.75,4.0,enterpriserag_doc_level,500,94.04,92.22,98.72,98.11,0.8644,111.362,99.749,1114.8,21.91,42.75,15.81,12.49,28.32,3.85,5.492,0.12,0.73,5.58,5.05,2.44,0.03,2.58
bailout__sim_0.80__idf_4.0,True,0.8,4.0,enterpriserag_doc_level,500,93.83,92.06,98.72,98.14,0.8601,44.511,36.743,1051.79,21.91,42.75,12.51,10.86,16.52,3.8,2.619,0.11,0.72,5.23,5.05,2.44,0.03,2.58
bailout__sim_0.85__idf_4.0,True,0.85,4.0,enterpriserag_doc_level,500,93.83,92.01,98.72,98.11,0.8657,19.145,15.353,1030.4,21.91,42.75,11.32,10.38,13.37,3.788,1.567,0.11,0.71,5.12,5.05,2.44,0.03,2.58
baseline_no_bailout,False,0.85,999.0,liverag_doc_level,895,97.77,97.32,98.99,98.83,0.9392,0.0,0.012,1004.71,11.31,56.69,7.97,7.99,9.29,2.413,0.033,0.11,0.49,4.9,3.56,1.87,0.03,1.66
bailout__sim_0.65__idf_0.0,True,0.65,0.0,liverag_doc_level,895,97.77,97.37,98.99,98.83,0.9402,8989.638,5819.686,6824.38,11.31,56.69,603.39,568.24,1129.81,9.441,560.328,0.8,2.35,29.67,3.56,1.87,0.03,1.66
bailout__sim_0.70__idf_0.0,True,0.7,0.0,liverag_doc_level,895,97.88,97.49,98.99,98.88,0.9391,1182.778,1029.189,2033.88,11.31,56.69,67.13,63.56,121.36,2.57,53.475,0.13,0.67,10.18,3.56,1.87,0.03,1.66
bailout__sim_0.75__idf_0.0,True,0.75,0.0,liverag_doc_level,895,98.1,97.71,99.22,99.16,0.9412,199.251,191.606,1196.3,11.31,56.69,19.13,18.59,30.17,2.499,10.142,0.11,0.5,5.84,3.56,1.87,0.03,1.66
bailout__sim_0.80__idf_0.0,True,0.8,0.0,liverag_doc_level,895,98.1,97.77,99.22,99.11,0.9412,46.534,45.759,1050.45,11.31,56.69,12.51,12.42,16.65,2.494,4.322,0.1,0.47,5.09,3.56,1.87,0.03,1.66
bailout__sim_0.85__idf_0.0,True,0.85,0.0,liverag_doc_level,895,97.88,97.49,99.44,99.27,0.9383,11.105,10.954,1015.65,11.31,56.69,10.86,10.8,13.9,2.475,2.898,0.1,0.47,4.89,3.56,1.87,0.03,1.66
bailout__sim_0.65__idf_2.0,True,0.65,2.0,liverag_doc_level,895,97.77,97.37,98.99,98.83,0.9402,3750.63,3129.604,4134.3,11.31,56.69,240.06,217.3,518.81,6.381,210.512,0.51,1.19,21.17,3.56,1.87,0.03,1.66
bailout__sim_0.70__idf_2.0,True,0.7,2.0,liverag_doc_level,895,97.88,97.49,98.99,98.88,0.9397,546.582,515.772,1520.46,11.31,56.69,35.8,32.48,68.41,2.56,24.951,0.13,0.56,7.53,3.56,1.87,0.03,1.66
bailout__sim_0.75__idf_2.0,True,0.75,2.0,liverag_doc_level,895,98.1,97.71,99.22,99.16,0.9416,95.961,93.458,1098.15,11.31,56.69,13.68,13.08,20.03,2.501,5.193,0.11,0.49,5.36,3.56,1.87,0.03,1.66
bailout__sim_0.80__idf_2.0,True,0.8,2.0,liverag_doc_level,895,98.1,97.77,99.22,99.11,0.9408,22.769,22.328,1027.02,11.31,56.69,10.46,10.36,13.11,2.471,2.398,0.1,0.48,4.99,3.56,1.87,0.03,1.66
bailout__sim_0.85__idf_2.0,True,0.85,2.0,liverag_doc_level,895,97.88,97.54,99.44,99.27,0.939,5.996,5.876,1010.57,11.31,56.69,9.71,9.7,11.85,2.467,1.733,0.1,0.47,4.9,3.56,1.87,0.03,1.66
