dataset,category,model_family,config_label,p,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,ndcg_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_qaug_len,avg_anchors,avg_synonyms,avg_r_anchor
enterpriserag_doc_level,Baseline,BM25_Blank,bm25_blank,-,"BM25 (Standard Lucene, unstemmed)","k1=1.2, b=0.75, unstemmed",470,86.17,88.09,89.15,90.43,79.79,83.62,84.89,86.81,83.34,86.1,87.17,88.76,12.36,6.49,4.4,2.71,0.7386,0.7446,3.71,3.83,5.66,32.832,0.0,0.0,0.0,0.0,0.0
enterpriserag_doc_level,Baseline,BM25_Analyzed,bm25_analyzed,-,"BM25 (Analyzed Lucene, kstem)","k1=1.2, b=0.75, kstem+wordnet",470,84.89,88.3,88.72,90.43,78.09,82.98,84.26,87.02,81.99,85.92,86.95,88.97,12.02,6.45,4.4,2.71,0.7205,0.726,2.06,2.15,3.24,60.575,0.0,0.0,0.0,0.0,0.0
enterpriserag_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",470,62.98,68.51,71.06,74.47,53.4,58.09,61.49,64.68,57.54,62.47,65.46,69.01,8.09,4.44,3.13,1.98,0.478,0.4756,73.15,73.5,76.04,76.664,1.285,0.0,0.0,0.0,0.0
enterpriserag_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert, inverted index",470,78.3,81.49,83.83,87.02,67.66,71.91,74.68,78.72,72.84,76.85,79.54,83.27,10.3,5.55,3.85,2.43,0.6743,0.6575,9.55,11.18,19.24,288.875,11.462,0.0,0.0,0.0,0.0
enterpriserag_doc_level,Pipeline_V2,v7_current,v7_current,1.0,Edge-RAG V7 (GPU-Sparse Bailout),"p=1.0, tau=0.55, mu=0.50, bail_tau=0.80",470,84.89,87.02,88.51,90.43,77.87,81.91,83.83,87.02,81.75,84.78,86.58,89.04,12.11,6.43,4.39,2.72,0.7255,0.7309,15.16,16.02,19.35,72.418,0.386,0.0,0.0,0.0,0.0
liverag_doc_level,Baseline,BM25_Blank,bm25_blank,-,"BM25 (Standard Lucene, unstemmed)","k1=1.2, b=0.75, unstemmed",895,96.76,97.88,98.1,98.21,95.31,96.98,97.43,97.65,96.03,97.43,97.77,97.93,11.05,5.61,3.75,2.26,0.9252,0.9284,0.21,0.22,0.35,0.915,0.0,0.0,0.0,0.0,0.0
liverag_doc_level,Baseline,BM25_Analyzed,bm25_analyzed,-,"BM25 (Analyzed Lucene, kstem)","k1=1.2, b=0.75, kstem+wordnet",895,97.54,98.44,98.66,98.99,96.87,97.99,98.32,98.66,97.21,98.21,98.49,98.83,11.21,5.66,3.78,2.28,0.9402,0.9428,0.16,0.16,0.25,1.691,0.0,0.0,0.0,0.0,0.0
liverag_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",895,96.76,97.88,97.99,98.55,95.64,97.32,97.65,98.32,96.2,97.6,97.82,98.44,11.08,5.63,3.77,2.27,0.9025,0.9118,12.88,12.97,13.55,1.689,1.223,0.0,0.0,0.0,0.0
liverag_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert, inverted index",895,95.75,96.98,98.1,98.55,94.64,96.31,97.43,97.88,95.2,96.65,97.77,98.21,10.98,5.58,3.76,2.26,0.9108,0.9156,4.64,4.76,5.26,5.273,11.462,0.0,0.0,0.0,0.0
liverag_doc_level,Pipeline_V2,v7_current,v7_current,1.0,Edge-RAG V7 (GPU-Sparse Bailout),"p=1.0, tau=0.55, mu=0.50, bail_tau=0.80",895,98.1,98.55,98.88,99.22,97.43,98.21,98.66,98.99,97.77,98.38,98.77,99.11,11.26,5.67,3.8,2.29,0.9437,0.9473,9.66,9.63,11.14,6.848,0.383,0.0,0.0,0.0,0.0
